Day,Country,Province,County,Confirmed,Active,Recovered,Deaths
23-04-2020,Monaco,Main territory,,94,55,35,4
23-04-2020,Poland,Main territory,,10511,8317,1740,454
23-04-2020,Senegal,Main territory,,479,216,257,6
23-04-2020,Morocco,Main territory,,3568,2957,456,155
23-04-2020,Iraq,Main territory,,1677,423,1171,83
23-04-2020,Fiji,Main territory,,18,10,8,0
23-04-2020,Greece,Main territory,,2463,1761,577,125
23-04-2020,Haiti,Main territory,,58,52,2,4
23-04-2020,Peru,Main territory,,20914,10828,7422,2664
23-04-2020,Saint Vincent and the Grenadines,Main territory,,13,10,3,0
23-04-2020,Seychelles,Main territory,,11,5,6,0
23-04-2020,Sri Lanka,Main territory,,368,254,107,7
23-04-2020,Uruguay,Main territory,,557,191,354,12
23-04-2020,Germany,Main territory,,153129,44254,103300,5575
23-04-2020,Zimbabwe,Main territory,,28,22,2,4
23-04-2020,Thailand,Main territory,,2839,359,2430,50
23-04-2020,Netherlands,Main territory,,35729,31552,0,4177
23-04-2020,Netherlands,Sint Maarten,,73,39,22,12
23-04-2020,Netherlands,Curacao,,14,2,11,1
23-04-2020,Netherlands,"Bonaire, Sint Eustatius and Saba",,5,5,0,0
23-04-2020,Netherlands,Aruba,,100,30,68,2
23-04-2020,Kuwait,Main territory,,2399,1887,498,14
23-04-2020,Liberia,Main territory,,101,73,20,8
23-04-2020,Sudan,Main territory,,162,132,14,16
23-04-2020,Azerbaijan,Main territory,,1548,580,948,20
23-04-2020,Bolivia,Main territory,,703,616,44,43
23-04-2020,Romania,Main territory,,10096,7073,2478,545
23-04-2020,Honduras,Main territory,,519,441,31,47
23-04-2020,Madagascar,Main territory,,121,63,58,0
23-04-2020,Austria,Main territory,,15002,2786,11694,522
23-04-2020,Luxembourg,Main territory,,3665,2854,728,83
23-04-2020,Bosnia and Herzegovina,Main territory,,1413,874,485,54
23-04-2020,Argentina,Main territory,,3435,2351,919,165
23-04-2020,Botswana,Main territory,,22,21,0,1
23-04-2020,Dominican Republic,Main territory,,5543,4697,581,265
23-04-2020,Mozambique,Main territory,,46,37,9,0
23-04-2020,Cuba,Main territory,,1235,827,365,43
23-04-2020,Barbados,Main territory,,76,40,30,6
23-04-2020,Denmark,Main territory,,8073,2295,5384,394
23-04-2020,Denmark,Greenland,,11,0,11,0
23-04-2020,Denmark,Faroe Islands,,187,9,178,0
23-04-2020,Kosovo,Main territory,,510,405,93,12
23-04-2020,Lebanon,Main territory,,688,526,140,22
23-04-2020,Mongolia,Main territory,,36,27,9,0
23-04-2020,Liechtenstein,Main territory,,81,25,55,1
23-04-2020,Libya,Main territory,,60,43,15,2
23-04-2020,South Sudan,Main territory,,5,5,0,0
23-04-2020,Grenada,Main territory,,15,9,6,0
23-04-2020,Indonesia,Main territory,,7775,6168,960,647
23-04-2020,Papua New Guinea,Main territory,,8,8,0,0
23-04-2020,Ireland,Main territory,,17607,7580,9233,794
23-04-2020,San Marino,Main territory,,501,398,63,40
23-04-2020,Uganda,Main territory,,74,28,46,0
23-04-2020,Switzerland,Main territory,,28496,6347,20600,1549
23-04-2020,Spain,Main territory,,213024,101617,89250,22157
23-04-2020,Mali,Main territory,,309,211,77,21
23-04-2020,Paraguay,Main territory,,213,137,67,9
23-04-2020,Latvia,Main territory,,778,634,133,11
23-04-2020,Laos,Main territory,,19,15,4,0
23-04-2020,Bhutan,Main territory,,7,4,3,0
23-04-2020,Myanmar,Main territory,,139,125,9,5
23-04-2020,Finland,Main territory,,4284,2112,2000,172
23-04-2020,Nepal,Main territory,,48,38,10,0
23-04-2020,Singapore,Main territory,,11178,10242,924,12
23-04-2020,Iceland,Main territory,,1789,270,1509,10
23-04-2020,Egypt,Main territory,,3891,2600,1004,287
23-04-2020,Andorra,Main territory,,723,353,333,37
23-04-2020,Malawi,Main territory,,33,27,3,3
23-04-2020,Malta,Main territory,,445,238,204,3
23-04-2020,Costa Rica,Main territory,,686,484,196,6
23-04-2020,Cameroon,Main territory,,1334,623,668,43
23-04-2020,Mauritius,Main territory,,331,56,266,9
23-04-2020,Italy,Main territory,,189973,106848,57576,25549
23-04-2020,Ecuador,Main territory,,11183,9295,1328,560
23-04-2020,Qatar,Main territory,,7764,7004,750,10
23-04-2020,Russia,Ярославская обл.,,263,244,18,1
23-04-2020,Russia,Ямало-Ненецкий АО,,243,220,22,1
23-04-2020,Russia,Чукотский АО,,6,6,0,0
23-04-2020,Russia,Чувашия,,305,286,14,5
