Day,Country,Province,County,Confirmed,Active,Recovered,Deaths
12-09-2020,Monaco,Main territory,,169,45,123,1
12-09-2020,Poland,Main territory,,73650,11743,59725,2182
12-09-2020,Senegal,Main territory,,14237,3569,10373,295
12-09-2020,Morocco,Main territory,,84435,17015,65867,1553
12-09-2020,Iraq,Main territory,,286778,57554,221283,7941
12-09-2020,Fiji,Main territory,,32,6,24,2
12-09-2020,Greece,Main territory,,13036,11387,1347,302
12-09-2020,Haiti,Main territory,,8457,2121,6120,216
12-09-2020,Peru,Other,,0,-559321,559321,0
12-09-2020,Peru,Ucayali,,14848,13420,0,1428
12-09-2020,Peru,Tumbes,,6225,5588,0,637
12-09-2020,Peru,Tacna,,10236,9582,0,654
12-09-2020,Peru,San Martin,,15159,13759,0,1400
12-09-2020,Peru,Puno,,10394,9205,0,1189
12-09-2020,Peru,Piura,,31915,26908,0,5007
12-09-2020,Peru,Pasco,,4369,4136,0,233
12-09-2020,Peru,Moquegua,,10294,9562,0,732
12-09-2020,Peru,Madre de Dios,,6756,6624,0,132
12-09-2020,Peru,Loreto,,17022,14392,0,2630
12-09-2020,Peru,Lima,,333875,298052,0,35823
12-09-2020,Peru,Lambayeque,,23570,20057,0,3513
12-09-2020,Peru,La Libertad,,24727,20650,0,4077
12-09-2020,Peru,Junin,,16864,14912,0,1952
12-09-2020,Peru,Ica,,23771,20704,0,3067
12-09-2020,Peru,Huanuco,,13884,13071,0,813
12-09-2020,Peru,Huancavelica,,5517,5209,0,308
12-09-2020,Peru,Cusco,,17798,16599,0,1199
12-09-2020,Peru,Callao,,29523,25030,0,4493
12-09-2020,Peru,Cajamarca,,17270,16028,0,1242
12-09-2020,Peru,Ayacucho,,9665,9019,0,646
12-09-2020,Peru,Arequipa,,36877,33261,0,3616
12-09-2020,Peru,Apurimac,,3827,3640,0,187
12-09-2020,Peru,Ancash,,20046,17652,0,2394
12-09-2020,Peru,Amazonas,,12238,11785,0,453
12-09-2020,Saint Vincent and the Grenadines,Main territory,,64,3,61,0
12-09-2020,Seychelles,Main territory,,139,3,136,0
12-09-2020,Sri Lanka,Main territory,,3195,200,2983,12
12-09-2020,Uruguay,Main territory,,1780,233,1502,45
12-09-2020,Germany,Other,,1996,1996,0,0
12-09-2020,Germany,Thuringen,,3765,119,3458,188
12-09-2020,Germany,Schleswig-Holstein,,4218,161,3896,161
12-09-2020,Germany,Sachsen-Anhalt,,2333,103,2164,66
12-09-2020,Germany,Sachsen,,6351,452,5673,226
12-09-2020,Germany,Saarland,,3225,75,2975,175
12-09-2020,Germany,Rheinland-Pfalz,,9707,750,8711,246
12-09-2020,Germany,Nordrhein-Westfalen,,61820,3241,56751,1828
12-09-2020,Germany,Niedersachsen,,17826,1275,15884,667
12-09-2020,Germany,Mecklenburg-Vorpommern,,1055,43,992,20
12-09-2020,Germany,Hessen,,16714,1298,14878,538
12-09-2020,Germany,Hamburg,,6813,682,5864,267
12-09-2020,Germany,Bremen,,2120,119,1943,58
12-09-2020,Germany,Brandenburg,,4029,141,3715,173
12-09-2020,Germany,Berlin,,12253,903,11124,226
12-09-2020,Germany,Bavaria,,61689,4727,54317,2645
12-09-2020,Germany,Baden-Wurttemberg,,44903,3427,39608,1868
12-09-2020,Zimbabwe,Main territory,,7508,1609,5675,224
12-09-2020,Thailand,Main territory,,3466,96,3312,58
12-09-2020,Netherlands,Zuid-Holland,,22980,21626,0,1354
12-09-2020,Netherlands,Zeeland,,1125,1053,0,72
12-09-2020,Netherlands,Utrecht,,6372,5935,0,437
12-09-2020,Netherlands,Other,,701,683,0,18
12-09-2020,Netherlands,Sint Maarten,,533,84,430,19
12-09-2020,Netherlands,Overijssel,,3718,3404,0,314
12-09-2020,Netherlands,Noord-Holland,,15114,14282,0,832
12-09-2020,Netherlands,Noord-Brabant,,13238,11687,0,1551
12-09-2020,Netherlands,Limburg,,5722,4964,0,758
12-09-2020,Netherlands,Groningen,,753,734,0,19
12-09-2020,Netherlands,Gelderland,,8229,7537,0,692
12-09-2020,Netherlands,Friesland,,880,811,0,69
12-09-2020,Netherlands,Flevoland,,1538,1442,0,96
12-09-2020,Netherlands,Drenthe,,642,601,0,41
12-09-2020,Netherlands,Curacao,,145,88,56,1
12-09-2020,Netherlands,"Bonaire, Sint Eustatius and Saba",,25,18,7,0
