Day,Country,Province,County,Confirmed,Active,Recovered,Deaths
26-01-2021,Monaco,Main territory,,1399,230,1160,9
26-01-2021,Poland,Main territory,,1482722,203482,1243575,35665
26-01-2021,Senegal,Main territory,,25127,3665,20870,592
26-01-2021,Morocco,Main territory,,467493,14483,444823,8187
26-01-2021,Iraq,Main territory,,615380,17618,584752,13010
26-01-2021,Fiji,Main territory,,55,0,53,2
26-01-2021,Greece,Main territory,,153226,53770,93764,5692
26-01-2021,Haiti,Main territory,,11286,2033,9010,243
26-01-2021,Peru,Other,,4444,-1018512,1022736,220
26-01-2021,Peru,Ucayali,,21212,19564,0,1648
26-01-2021,Peru,Tumbes,,10074,9253,0,821
26-01-2021,Peru,Tacna,,16137,15232,0,905
26-01-2021,Peru,San Martin,,27106,25449,0,1657
26-01-2021,Peru,Puno,,20368,18696,0,1672
26-01-2021,Peru,Piura,,45425,38598,0,6827
26-01-2021,Peru,Pasco,,7483,7038,0,445
26-01-2021,Peru,Moquegua,,17464,16468,0,996
26-01-2021,Peru,Madre de Dios,,9702,9535,0,167
26-01-2021,Peru,Loreto,,26986,24179,0,2807
26-01-2021,Peru,Lima,,492944,447356,0,45588
26-01-2021,Peru,Lambayeque,,35070,30180,0,4890
26-01-2021,Peru,La Libertad,,39415,34260,0,5155
26-01-2021,Peru,Junin,,33035,30239,0,2796
26-01-2021,Peru,Ica,,34591,30564,0,4027
26-01-2021,Peru,Huanuco,,22752,21365,0,1387
26-01-2021,Peru,Huancavelica,,8255,7826,0,429
26-01-2021,Peru,Cusco,,27394,25654,0,1740
26-01-2021,Peru,Callao,,46999,41435,0,5564
26-01-2021,Peru,Cajamarca,,27772,26046,0,1726
26-01-2021,Peru,Ayacucho,,16489,15613,0,876
26-01-2021,Peru,Arequipa,,52088,47496,0,4592
26-01-2021,Peru,Apurimac,,9249,8776,0,473
26-01-2021,Peru,Ancash,,35491,32319,0,3172
26-01-2021,Peru,Amazonas,,19294,18693,0,601
26-01-2021,Saint Vincent and the Grenadines,Main territory,,746,597,147,2
26-01-2021,Seychelles,Main territory,,1116,359,754,3
26-01-2021,Sri Lanka,Main territory,,59922,8588,51046,288
26-01-2021,Uruguay,Main territory,,38680,7418,30861,401
26-01-2021,Germany,Other,,8616,8616,0,0
26-01-2021,Germany,Thuringen,,62372,7957,52423,1992
26-01-2021,Germany,Schleswig-Holstein,,33972,5231,27972,769
26-01-2021,Germany,Sachsen-Anhalt,,49559,8245,39733,1581
26-01-2021,Germany,Sachsen,,175936,16122,153900,5914
26-01-2021,Germany,Saarland,,24784,1585,22486,713
26-01-2021,Germany,Rheinland-Pfalz,,90410,12742,75288,2380
26-01-2021,Germany,Nordrhein-Westfalen,,472482,44386,417935,10161
26-01-2021,Germany,Niedersachsen,,137021,11887,122090,3044
26-01-2021,Germany,Mecklenburg-Vorpommern,,18946,3314,15233,399
26-01-2021,Germany,Hessen,,166452,17545,144413,4494
26-01-2021,Germany,Hamburg,,45132,6179,37963,990
26-01-2021,Germany,Bremen,,15532,1020,14255,257
26-01-2021,Germany,Brandenburg,,66361,11085,53093,2183
26-01-2021,Germany,Berlin,,117557,11735,103721,2101
26-01-2021,Germany,Bavaria,,391974,35036,347096,9842
26-01-2021,Germany,Baden-Wurttemberg,,286937,25806,254332,6799
26-01-2021,Zimbabwe,Main territory,,32004,7488,23413,1103
26-01-2021,Thailand,Main territory,,14646,3679,10892,75
26-01-2021,Netherlands,Zuid-Holland,,231032,227730,0,3302
26-01-2021,Netherlands,Zeeland,,13853,13700,0,153
26-01-2021,Netherlands,Utrecht,,77427,76428,0,999
26-01-2021,Netherlands,Other,,1540,1531,0,9
26-01-2021,Netherlands,Sint Maarten,,1767,129,1611,27
26-01-2021,Netherlands,Overijssel,,68286,67367,0,919
26-01-2021,Netherlands,Noord-Holland,,161358,159403,0,1955
26-01-2021,Netherlands,Noord-Brabant,,149187,146559,0,2628
26-01-2021,Netherlands,Limburg,,61530,60260,0,1270
26-01-2021,Netherlands,Groningen,,21509,21359,0,150
26-01-2021,Netherlands,Gelderland,,109343,107736,0,1607
26-01-2021,Netherlands,Friesland,,20566,20320,0,246
26-01-2021,Netherlands,Flevoland,,23305,23113,0,192
26-01-2021,Netherlands,Drenthe,,17931,17696,0,235
26-01-2021,Netherlands,Curacao,,4558,96,4442,20
26-01-2021,Netherlands,"Bonaire, Sint Eustatius and Saba",,196,13,180,3
26-01-2021,Netherlands,Aruba,,6768,362,6349,57
26-01-2021,Kuwait,Main territory,,162282,6022,155303,957
26-01-2021,Liberia,Main territory,,1932,115,1733,84
26-01-2021,Sudan,Main territory,,28522,6092,20680,1750
26-01-2021,Azerbaijan,Main territory,,229358,5142,221116,3100
26-01-2021,Bolivia,Main territory,,205208,42548,152555,10105
26-01-2021,Romania,Main territory,,715438,38905,658595,17938
26-01-2021,Honduras,Main territory,,142880,78797,60597,3486
26-01-2021,Madagascar,Main territory,,18743,534,17930,279
26-01-2021,Austria,Main territory,,407140,14699,384926,7515
26-01-2021,Luxembourg,Main territory,,49852,2135,47147,570
26-01-2021,Bosnia and Herzegovina,Main territory,,120532,22579,93332,4621
26-01-2021,Argentina,Main territory,,1885210,163402,1674555,47253
26-01-2021,Botswana,Main territory,,20658,3740,16794,124
26-01-2021,Dominican Republic,Main territory,,206305,53929,149812,2564
26-01-2021,Mozambique,Main territory,,34055,12383,21343,329
26-01-2021,Cuba,Main territory,,22614,4711,17703,200
26-01-2021,Barbados,Main territory,,1401,742,649,10
26-01-2021,Denmark,Main territory,,195948,11498,182420,2030
26-01-2021,Denmark,Greenland,,30,0,30,0
26-01-2021,Denmark,Faroe Islands,,654,8,645,1
26-01-2021,Kosovo,Main territory,,58399,5850,51083,1466
26-01-2021,Lebanon,Main territory,,285754,114528,168749,2477
26-01-2021,Mongolia,Main territory,,1667,429,1236,2
26-01-2021,Liechtenstein,Main territory,,2455,81,2322,52
26-01-2021,Libya,Main territory,,115299,19223,94287,1789
26-01-2021,South Sudan,Main territory,,3788,182,3542,64
26-01-2021,Grenada,Main territory,,148,12,135,1
26-01-2021,Indonesia,Main territory,,1012350,163526,820356,28468
26-01-2021,Papua New Guinea,Main territory,,850,29,812,9
26-01-2021,Ireland,Main territory,,189851,163421,23364,3066
26-01-2021,San Marino,Main territory,,2915,190,2660,65
26-01-2021,Uganda,Main territory,,39261,24892,14051,318
26-01-2021,Switzerland,Main territory,,515483,188679,317600,9204
26-01-2021,Spain,Other,,0,0,0,0
26-01-2021,Spain,Pais Vasco,,128950,109489,16160,3301
26-01-2021,Spain,Navarra,,47373,42456,3905,1012
26-01-2021,Spain,Murcia,,92911,89767,2180,964
26-01-2021,Spain,Melilla,,5737,5563,125,49
26-01-2021,Spain,Madrid,,498502,445341,40736,12425
26-01-2021,Spain,La Rioja,,24161,20428,3107,626
26-01-2021,Spain,Galicia,,88329,77490,9204,1635
26-01-2021,Spain,Extremadura,,61948,57936,2652,1360
26-01-2021,Spain,Ceuta,,3791,3560,163,68
26-01-2021,Spain,Catalonia,,477807,442289,26203,9315
26-01-2021,Spain,Castilla y Leon,,176496,162277,8716,5503
26-01-2021,Spain,Castilla - La Mancha,,141741,131008,6392,4341
26-01-2021,Spain,Cantabria,,21862,19127,2287,448
26-01-2021,Spain,Canarias,,34013,31961,1537,515
26-01-2021,Spain,C. Valenciana,,274335,260040,9970,4325
26-01-2021,Spain,Baleares,,50059,47971,1533,555
26-01-2021,Spain,Asturias,,34214,31676,1063,1475
26-01-2021,Spain,Aragon,,94560,87918,3772,2870
26-01-2021,Spain,Andalusia,,373028,356350,10671,6007
26-01-2021,Mali,Main territory,,8006,1948,5731,327
26-01-2021,Paraguay,Main territory,,129394,22173,104570,2651
26-01-2021,Latvia,Main territory,,61924,11763,49035,1126
26-01-2021,Laos,Main territory,,44,3,41,0
26-01-2021,Bhutan,Main territory,,856,100,755,1
26-01-2021,Myanmar,Main territory,,138368,12505,122781,3082
26-01-2021,Finland,Main territory,,43120,11465,31000,655
26-01-2021,Nepal,Main territory,,270092,3252,264823,2017
26-01-2021,Singapore,Main territory,,59366,251,59086,29
26-01-2021,Iceland,Main territory,,5992,59,5904,29
26-01-2021,Egypt,Main territory,,163129,26629,127433,9067
26-01-2021,Andorra,Main territory,,9638,767,8774,97
26-01-2021,Malawi,Main territory,,20830,13285,7005,540
26-01-2021,Malta,Main territory,,16999,2640,14104,255
26-01-2021,Costa Rica,Main territory,,191345,38970,149808,2567
26-01-2021,Cameroon,Main territory,,29617,1110,28045,462
26-01-2021,Mauritius,Main territory,,568,33,525,10
26-01-2021,Italy,Veneto,,306952,41787,256470,8695
26-01-2021,Italy,Valle d'Aosta,,7747,282,7064,401
26-01-2021,Italy,Umbria,,34410,5169,28490,751
26-01-2021,Italy,Toscana,,131627,8426,119083,4118
26-01-2021,Italy,Sicilia,,131607,47479,80832,3296
26-01-2021,Italy,Sardegna,,37396,16798,19643,955
26-01-2021,Italy,Puglia,,117506,53715,60729,3062
26-01-2021,Italy,Piemonte,,219005,12734,197629,8642
26-01-2021,Italy,P.A. Trento,,26406,2019,23246,1141
26-01-2021,Italy,P.A. Bolzano,,37360,14006,22501,853
26-01-2021,Italy,Molise,,7953,1019,6675,259
26-01-2021,Italy,Marche,,53394,8748,42752,1894
26-01-2021,Italy,Lombardia,,527988,48968,452231,26789
26-01-2021,Italy,Liguria,,68128,4417,60453,3258
26-01-2021,Italy,Lazio,,199606,66132,128709,4765
26-01-2021,Italy,Friuli Venezia Giulia,,64940,11490,51151,2299
26-01-2021,Italy,Emilia-Romagna,,212590,49142,154178,9270
26-01-2021,Italy,Campania,,215752,63233,148876,3643
26-01-2021,Italy,Calabria,,31511,9846,21088,577
26-01-2021,Italy,Basilicata,,12971,6960,5692,319
26-01-2021,Italy,Abruzzo,,41107,10047,29625,1435
26-01-2021,Ecuador,Main territory,,242146,23407,204071,14668
26-01-2021,Qatar,Main territory,,149595,4223,145124,248
26-01-2021,Russia,Севастополь,,9207,525,8311,371
26-01-2021,Russia,Крым,,31496,5456,25320,720
26-01-2021,Russia,Забайкальский край,,33172,1870,30846,456
26-01-2021,Russia,Ярославская обл.,,27193,1387,25509,297
26-01-2021,Russia,Ямало-Ненецкий АО,,35282,4237,30672,373
26-01-2021,Russia,Воронежская обл.,,56324,4180,50654,1490
26-01-2021,Russia,Вологодская обл.,,31402,4136,26680,586
26-01-2021,Russia,Волгоградская обл.,,42140,1371,40187,582
