Day,Country,Province,County,Confirmed,Active,Recovered,Deaths
27-11-2020,Monaco,Main territory,,603,68,532,3
27-11-2020,Poland,Main territory,,958416,425633,516636,16147
27-11-2020,Senegal,Main territory,,15981,80,15569,332
27-11-2020,Morocco,Main territory,,345276,45551,294036,5689
27-11-2020,Iraq,Main territory,,547215,58751,476297,12167
27-11-2020,Fiji,Main territory,,38,3,33,2
27-11-2020,Greece,Main territory,,101287,76111,23074,2102
27-11-2020,Haiti,Main territory,,9256,1073,7951,232
27-11-2020,Peru,Other,,0,-887019,887019,0
27-11-2020,Peru,Ucayali,,19408,17859,0,1549
27-11-2020,Peru,Tumbes,,9034,8307,0,727
27-11-2020,Peru,Tacna,,13897,13122,0,775
27-11-2020,Peru,San Martin,,23814,22245,0,1569
27-11-2020,Peru,Puno,,18304,16847,0,1457
27-11-2020,Peru,Piura,,40495,34696,0,5799
27-11-2020,Peru,Pasco,,6217,5919,0,298
27-11-2020,Peru,Moquegua,,15196,14361,0,835
27-11-2020,Peru,Madre de Dios,,9181,9030,0,151
27-11-2020,Peru,Loreto,,24268,21546,0,2722
27-11-2020,Peru,Lima,,427237,386525,0,40712
27-11-2020,Peru,Lambayeque,,30505,26229,0,4276
27-11-2020,Peru,La Libertad,,35105,30521,0,4584
27-11-2020,Peru,Junin,,25329,23021,0,2308
27-11-2020,Peru,Ica,,30858,27345,0,3513
27-11-2020,Peru,Huanuco,,18900,17916,0,984
27-11-2020,Peru,Huancavelica,,7618,7238,0,380
27-11-2020,Peru,Cusco,,23777,22261,0,1516
27-11-2020,Peru,Callao,,40416,35380,0,5036
27-11-2020,Peru,Cajamarca,,23712,22201,0,1511
27-11-2020,Peru,Ayacucho,,14422,13624,0,798
27-11-2020,Peru,Arequipa,,46013,41921,0,4092
27-11-2020,Peru,Apurimac,,6417,6109,0,308
27-11-2020,Peru,Ancash,,28426,25691,0,2735
27-11-2020,Peru,Amazonas,,17798,17247,0,551
