Day,Country,Province,County,Confirmed,Active,Recovered,Deaths
04-05-2020,Monaco,Main territory,,95,13,78,4
04-05-2020,Poland,Main territory,,14006,9213,4095,698
04-05-2020,Senegal,Main territory,,1271,846,415,10
04-05-2020,Morocco,Main territory,,5053,3221,1653,179
04-05-2020,Iraq,Main territory,,2346,704,1544,98
04-05-2020,Fiji,Main territory,,18,4,14,0
04-05-2020,Greece,Main territory,,2632,1112,1374,146
04-05-2020,Haiti,Main territory,,85,67,10,8
04-05-2020,Peru,Main territory,,47372,26503,14427,6442
04-05-2020,Saint Vincent and the Grenadines,Main territory,,17,8,9,0
04-05-2020,Seychelles,Main territory,,11,5,6,0
04-05-2020,Sri Lanka,Main territory,,751,549,194,8
04-05-2020,Uruguay,Main territory,,657,193,447,17
04-05-2020,Germany,Main territory,,166152,26459,132700,6993
04-05-2020,Zimbabwe,Main territory,,34,25,5,4
04-05-2020,Thailand,Main territory,,2987,193,2740,54
04-05-2020,Netherlands,Main territory,,40770,35688,0,5082
04-05-2020,Netherlands,Sint Maarten,,76,19,44,13
04-05-2020,Netherlands,Curacao,,16,2,13,1
04-05-2020,Netherlands,"Bonaire, Sint Eustatius and Saba",,6,6,0,0
04-05-2020,Netherlands,Aruba,,100,17,81,2
04-05-2020,Kuwait,Main territory,,5278,3291,1947,40
04-05-2020,Liberia,Main territory,,166,90,58,18
04-05-2020,Sudan,Main territory,,678,576,61,41
04-05-2020,Azerbaijan,Main territory,,1984,478,1480,26
04-05-2020,Bolivia,Main territory,,1681,1425,174,82
04-05-2020,Romania,Main territory,,13512,7425,5269,818
04-05-2020,Honduras,Main territory,,1178,973,122,83
04-05-2020,Madagascar,Main territory,,149,50,99,0
04-05-2020,Austria,Main territory,,15621,1705,13316,600
04-05-2020,Luxembourg,Main territory,,3828,327,3405,96
04-05-2020,Bosnia and Herzegovina,Main territory,,1926,993,855,78
04-05-2020,Argentina,Main territory,,4887,3185,1442,260
