Day,Country,Province,County,Confirmed,Active,Recovered,Deaths
12-04-2020,Monaco,Main territory,,93,86,6,1
12-04-2020,Poland,Main territory,,6674,6003,439,232
12-04-2020,Senegal,Main territory,,280,107,171,2
12-04-2020,Morocco,Main territory,,1661,1366,177,118
12-04-2020,Iraq,Main territory,,1352,636,640,76
12-04-2020,Fiji,Main territory,,16,16,0,0
12-04-2020,Greece,Main territory,,2114,1747,269,98
12-04-2020,Haiti,Main territory,,31,29,0,2
12-04-2020,Peru,Main territory,,7519,4875,1798,846
12-04-2020,Saint Vincent and the Grenadines,Main territory,,12,11,1,0
12-04-2020,Seychelles,Main territory,,11,11,0,0
12-04-2020,Sri Lanka,Main territory,,210,147,56,7
12-04-2020,Uruguay,Main territory,,480,242,231,7
12-04-2020,Germany,Main territory,,127854,64532,60300,3022
12-04-2020,Zimbabwe,Main territory,,14,11,0,3
12-04-2020,Thailand,Main territory,,2551,1295,1218,38
12-04-2020,Netherlands,Main territory,,25587,22600,250,2737
12-04-2020,Netherlands,Sint Maarten,,50,36,5,9
12-04-2020,Netherlands,Curacao,,14,5,8,1
12-04-2020,Netherlands,"Bonaire, Sint Eustatius and Saba",,3,3,0,0
12-04-2020,Netherlands,Aruba,,92,60,32,0
12-04-2020,Kuwait,Main territory,,1234,1091,142,1
12-04-2020,Liberia,Main territory,,50,42,3,5
12-04-2020,Sudan,Main territory,,19,15,2,2
12-04-2020,Azerbaijan,Main territory,,1098,837,250,11
12-04-2020,Bolivia,Main territory,,300,274,2,24
12-04-2020,Romania,Main territory,,6300,5132,852,316
12-04-2020,Honduras,Main territory,,393,361,7,25
12-04-2020,Madagascar,Main territory,,106,86,20,0
12-04-2020,Austria,Main territory,,13945,6608,6987,350
12-04-2020,Luxembourg,Main territory,,3281,2715,500,66
12-04-2020,Bosnia and Herzegovina,Main territory,,1009,777,193,39
12-04-2020,Argentina,Main territory,,2142,1584,468,90
12-04-2020,Botswana,Main territory,,13,12,0,1
12-04-2020,Dominican Republic,Main territory,,2967,2663,131,173
