Day,Country,Province,County,Confirmed,Active,Recovered,Deaths
27-03-2021,Monaco,Main territory,,2254,169,2057,28
27-03-2021,Poland,Main territory,,2221725,394904,1775068,51753
27-03-2021,Senegal,Main territory,,38456,1100,36322,1034
27-03-2021,Morocco,Main territory,,494358,3476,482084,8798
27-03-2021,Iraq,Main territory,,827157,71865,741115,14177
27-03-2021,Fiji,Main territory,,67,1,64,2
27-03-2021,Greece,Main territory,,252590,151000,93764,7826
27-03-2021,Haiti,Main territory,,12736,1731,10754,251
27-03-2021,Peru,Other,,0,-1432450,1432450,0
27-03-2021,Peru,Ucayali,,26076,23918,0,2158
27-03-2021,Peru,Tumbes,,13174,12077,0,1097
27-03-2021,Peru,Tacna,,21774,20326,0,1448
27-03-2021,Peru,San Martin,,33113,31155,0,1958
27-03-2021,Peru,Puno,,25830,23357,0,2473
27-03-2021,Peru,Piura,,56634,48501,0,8133
27-03-2021,Peru,Pasco,,10795,10144,0,651
27-03-2021,Peru,Moquegua,,21504,20365,0,1139
27-03-2021,Peru,Madre de Dios,,11448,11255,0,193
27-03-2021,Peru,Loreto,,35564,31856,0,3708
27-03-2021,Peru,Lima,,714226,648063,0,66163
27-03-2021,Peru,Lambayeque,,41614,35695,0,5919
27-03-2021,Peru,La Libertad,,52845,46133,0,6712
27-03-2021,Peru,Junin,,49729,45411,0,4318
27-03-2021,Peru,Ica,,44188,38366,0,5822
27-03-2021,Peru,Huanuco,,26567,24618,0,1949
27-03-2021,Peru,Huancavelica,,10663,9953,0,710
27-03-2021,Peru,Cusco,,42640,39886,0,2754
27-03-2021,Peru,Callao,,69032,61279,0,7753
27-03-2021,Peru,Cajamarca,,39560,37200,0,2360
27-03-2021,Peru,Ayacucho,,22621,21269,0,1352
27-03-2021,Peru,Arequipa,,64982,59179,0,5803
27-03-2021,Peru,Apurimac,,13342,12598,0,744
27-03-2021,Peru,Ancash,,50037,45847,0,4190
27-03-2021,Peru,Amazonas,,23015,22241,0,774
27-03-2021,Saint Vincent and the Grenadines,Main territory,,1723,130,1583,10
27-03-2021,Seychelles,Main territory,,3996,658,3318,20
27-03-2021,Sri Lanka,Main territory,,91839,2893,88388,558
27-03-2021,Uruguay,Main territory,,95278,18347,76030,901
27-03-2021,Germany,Other,,10257,10257,0,0
27-03-2021,Germany,Thuringen,,92337,9047,79999,3291
27-03-2021,Germany,Schleswig-Holstein,,48889,3898,43566,1425
27-03-2021,Germany,Sachsen-Anhalt,,71310,5721,62868,2721
27-03-2021,Germany,Sachsen,,217448,14719,194400,8329
27-03-2021,Germany,Saarland,,31509,1380,29192,937
27-03-2021,Germany,Rheinland-Pfalz,,114063,7689,103069,3305
27-03-2021,Germany,Nordrhein-Westfalen,,601047,46501,540433,14113
27-03-2021,Germany,Niedersachsen,,193388,15773,172805,4810
27-03-2021,Germany,Mecklenburg-Vorpommern,,29785,2873,26066,846
27-03-2021,Germany,Hessen,,214553,17657,190618,6278
27-03-2021,Germany,Hamburg,,59738,5849,52517,1372
27-03-2021,Germany,Bremen,,20543,1489,18652,402
27-03-2021,Germany,Brandenburg,,86420,6504,76641,3275
27-03-2021,Germany,Berlin,,143722,8587,132099,3036
27-03-2021,Germany,Bavaria,,490773,34253,443377,13143
27-03-2021,Germany,Baden-Wurttemberg,,357143,25615,322896,8632
27-03-2021,Zimbabwe,Main territory,,36818,724,34575,1519
27-03-2021,Thailand,Main territory,,28657,1691,26873,93
27-03-2021,Netherlands,Zuid-Holland,,293059,289081,0,3978
27-03-2021,Netherlands,Zeeland,,20116,19897,0,219
27-03-2021,Netherlands,Utrecht,,97747,96562,0,1185
27-03-2021,Netherlands,Other,,2532,2520,0,12
27-03-2021,Netherlands,Sint Maarten,,2130,30,2073,27
27-03-2021,Netherlands,Overijssel,,83946,82876,0,1070
27-03-2021,Netherlands,Noord-Holland,,216096,213707,0,2389
27-03-2021,Netherlands,Noord-Brabant,,196125,193132,0,2993
27-03-2021,Netherlands,Limburg,,80620,79114,0,1506
27-03-2021,Netherlands,Groningen,,30212,29986,0,226
27-03-2021,Netherlands,Gelderland,,138101,136217,0,1884
27-03-2021,Netherlands,Friesland,,31880,31438,0,442
27-03-2021,Netherlands,Flevoland,,28606,28381,0,225
27-03-2021,Netherlands,Drenthe,,25967,25646,0,321
27-03-2021,Netherlands,Curacao,,7335,2234,5071,30
27-03-2021,Netherlands,"Bonaire, Sint Eustatius and Saba",,196,13,180,3
27-03-2021,Netherlands,Aruba,,9214,677,8455,82
27-03-2021,Kuwait,Main territory,,227178,14539,211360,1279
27-03-2021,Liberia,Main territory,,2042,58,1899,85
27-03-2021,Sudan,Main territory,,31407,5389,23990,2028
27-03-2021,Azerbaijan,Main territory,,254370,15300,235606,3464
27-03-2021,Bolivia,Main territory,,269302,39216,217921,12165
27-03-2021,Romania,Main territory,,932179,75020,834162,22997
27-03-2021,Honduras,Main territory,,187015,111074,71384,4557
27-03-2021,Madagascar,Main territory,,23424,1474,21569,381
27-03-2021,Austria,Main territory,,533786,35591,488964,9231
27-03-2021,Luxembourg,Main territory,,60465,3409,56318,738
27-03-2021,Bosnia and Herzegovina,Main territory,,162032,27571,128241,6220
27-03-2021,Argentina,Main territory,,2301389,173793,2072228,55368
27-03-2021,Botswana,Main territory,,38466,4057,33903,506
27-03-2021,Dominican Republic,Main territory,,251582,37729,210551,3302
27-03-2021,Mozambique,Main territory,,67011,11082,55167,762
27-03-2021,Cuba,Main territory,,71584,3473,67697,414
27-03-2021,Barbados,Main territory,,3609,146,3422,41
27-03-2021,Denmark,Main territory,,227049,8510,216126,2413
27-03-2021,Denmark,Greenland,,31,0,31,0
27-03-2021,Denmark,Faroe Islands,,661,0,660,1
27-03-2021,Kosovo,Main territory,,84172,12271,70090,1811
27-03-2021,Lebanon,Main territory,,458338,92036,360244,6058
27-03-2021,Mongolia,Main territory,,6693,2451,4237,5
27-03-2021,Liechtenstein,Main territory,,2649,40,2553,56
27-03-2021,Libya,Main territory,,156116,9817,143697,2602
27-03-2021,South Sudan,Main territory,,10079,580,9391,108
27-03-2021,Grenada,Main territory,,155,2,152,1
27-03-2021,Indonesia,Main territory,,1492002,124517,1327121,40364
27-03-2021,Papua New Guinea,Main territory,,4660,3775,846,39
27-03-2021,Ireland,Main territory,,233937,205920,23364,4653
27-03-2021,San Marino,Main territory,,4603,519,4000,84
27-03-2021,Uganda,Main territory,,40767,53,40379,335
27-03-2021,Switzerland,Main territory,,592217,264318,317600,10299
27-03-2021,Spain,Other,,0,0,0,0
27-03-2021,Spain,Pais Vasco,,160437,140335,16160,3942
27-03-2021,Spain,Navarra,,53517,48495,3905,1117
27-03-2021,Spain,Murcia,,108198,104465,2180,1553
27-03-2021,Spain,Melilla,,7726,7523,125,78
27-03-2021,Spain,Madrid,,618160,562928,40736,14496
27-03-2021,Spain,La Rioja,,27690,23840,3107,743
27-03-2021,Spain,Galicia,,115836,104318,9204,2314
27-03-2021,Spain,Extremadura,,70654,66247,2652,1755
27-03-2021,Spain,Ceuta,,5023,4767,163,93
27-03-2021,Spain,Catalonia,,529904,490581,26203,13120
27-03-2021,Spain,Castilla y Leon,,211261,195937,8716,6608
27-03-2021,Spain,Castilla - La Mancha,,174891,162762,6392,5737
27-03-2021,Spain,Cantabria,,25813,22985,2287,541
27-03-2021,Spain,Canarias,,46004,43804,1537,663
27-03-2021,Spain,C. Valenciana,,385049,368003,9970,7076
27-03-2021,Spain,Baleares,,57315,55005,1533,777
27-03-2021,Spain,Asturias,,46670,43729,1063,1878
27-03-2021,Spain,Aragon,,110163,103019,3772,3372
27-03-2021,Spain,Andalusia,,501013,481195,10671,9147
27-03-2021,Mali,Main territory,,9773,2634,6763,376
27-03-2021,Paraguay,Main territory,,206597,33397,169197,4003
27-03-2021,Latvia,Main territory,,100716,7117,91727,1872
27-03-2021,Laos,Main territory,,49,4,45,0
27-03-2021,Bhutan,Main territory,,871,3,867,1
27-03-2021,Myanmar,Main territory,,142377,7383,131788,3206
27-03-2021,Finland,Main territory,,75545,28728,46000,817
27-03-2021,Nepal,Main territory,,276750,1288,272435,3027
27-03-2021,Singapore,Main territory,,60288,145,60113,30
27-03-2021,Iceland,Main territory,,6163,95,6039,29
27-03-2021,Egypt,Main territory,,199364,34877,152642,11845
27-03-2021,Andorra,Main territory,,11809,522,11172,115
27-03-2021,Malawi,Main territory,,33458,2760,29585,1113
27-03-2021,Malta,Main territory,,28808,1660,26763,385
27-03-2021,Costa Rica,Main territory,,215178,20540,191707,2931
27-03-2021,Cameroon,Main territory,,47669,11687,35261,721
27-03-2021,Mauritius,Main territory,,871,269,592,10
27-03-2021,Italy,Veneto,,377259,39231,327511,10517
27-03-2021,Italy,Valle d'Aosta,,8998,791,7787,420
27-03-2021,Italy,Umbria,,50349,5187,43919,1243
27-03-2021,Italy,Toscana,,190267,27303,157725,5239
27-03-2021,Italy,Sicilia,,170698,16412,149728,4558
27-03-2021,Italy,Sardegna,,44406,13672,29511,1223
27-03-2021,Italy,Puglia,,186949,45637,136633,4679
27-03-2021,Italy,Piemonte,,302074,35585,256309,10180
27-03-2021,Italy,P.A. Trento,,40602,3308,36018,1276
27-03-2021,Italy,P.A. Bolzano,,68550,906,66534,1110
27-03-2021,Italy,Molise,,12159,1022,10706,431
27-03-2021,Italy,Marche,,86493,10073,73841,2579
27-03-2021,Italy,Lombardia,,722957,106627,585943,30387
27-03-2021,Italy,Liguria,,87723,6659,77223,3841
27-03-2021,Italy,Lazio,,278815,50291,222009,6515
27-03-2021,Italy,Friuli Venezia Giulia,,95652,15851,76560,3241
27-03-2021,Italy,Emilia-Romagna,,329041,72061,245274,11706
27-03-2021,Italy,Campania,,330436,96101,229146,5189
27-03-2021,Italy,Calabria,,45744,10027,34922,795
27-03-2021,Italy,Basilicata,,19000,4721,13846,433
27-03-2021,Italy,Abruzzo,,64281,10413,51794,2074
27-03-2021,Ecuador,Main territory,,322699,34173,271847,16679
27-03-2021,Qatar,Main territory,,177135,14296,162555,284
27-03-2021,Russia,Севастополь,,13048,388,12101,559
27-03-2021,Russia,Крым,,37348,1336,34959,1053
27-03-2021,Russia,Забайкальский край,,40828,920,39320,588
27-03-2021,Russia,Ярославская обл.,,35737,1124,34138,475
27-03-2021,Russia,Ямало-Ненецкий АО,,37899,1054,36438,407
27-03-2021,Russia,Воронежская обл.,,74330,2989,68971,2370
27-03-2021,Russia,Вологодская обл.,,42345,1997,39457,891
27-03-2021,Russia,Волгоградская обл.,,53159,1356,50868,935
27-03-2021,Russia,Владимирская обл.,,29711,1926,26792,993
27-03-2021,Russia,Ульяновская обл.,,50423,2404,47068,951
27-03-2021,Russia,Удмуртия,,30346,2627,26970,749
27-03-2021,Russia,Тыва,,15757,689,14871,197
27-03-2021,Russia,Тюменская обл.,,33363,1556,31438,369
27-03-2021,Russia,Тверская обл.,,36997,1376,34899,722
27-03-2021,Russia,Тульская обл.,,35883,1080,33296,1507
