Day,Country,Province,County,Confirmed,Active,Recovered,Deaths
07-04-2021,Monaco,Main territory,,2353,118,2205,30
07-04-2021,Poland,Main territory,,2471617,361217,2054697,55703
07-04-2021,Senegal,Main territory,,39164,206,37888,1070
07-04-2021,Morocco,Main territory,,499688,4472,486349,8867
07-04-2021,Iraq,Main territory,,895622,86606,794444,14572
07-04-2021,Fiji,Main territory,,67,1,64,2
07-04-2021,Greece,Main territory,,285015,182644,93764,8607
07-04-2021,Haiti,Main territory,,12803,1234,11317,252
07-04-2021,Peru,Other,,0,-1518776,1518776,0
07-04-2021,Peru,Ucayali,,27321,24923,0,2398
07-04-2021,Peru,Tumbes,,13753,12580,0,1173
07-04-2021,Peru,Tacna,,22131,20645,0,1486
07-04-2021,Peru,San Martin,,34711,32619,0,2092
07-04-2021,Peru,Puno,,26374,23802,0,2572
07-04-2021,Peru,Piura,,59904,51261,0,8643
07-04-2021,Peru,Pasco,,11356,10662,0,694
07-04-2021,Peru,Moquegua,,22072,20923,0,1149
07-04-2021,Peru,Madre de Dios,,11960,11757,0,203
07-04-2021,Peru,Loreto,,36554,32777,0,3777
07-04-2021,Peru,Lima,,744697,674388,0,70309
07-04-2021,Peru,Lambayeque,,43098,36871,0,6227
07-04-2021,Peru,La Libertad,,56183,49028,0,7155
07-04-2021,Peru,Junin,,52165,47632,0,4533
07-04-2021,Peru,Ica,,45136,39042,0,6094
07-04-2021,Peru,Huanuco,,27318,25315,0,2003
07-04-2021,Peru,Huancavelica,,11205,10432,0,773
07-04-2021,Peru,Cusco,,45388,42393,0,2995
07-04-2021,Peru,Callao,,83396,75238,0,8158
07-04-2021,Peru,Cajamarca,,42372,39788,0,2584
07-04-2021,Peru,Ayacucho,,23659,22217,0,1442
07-04-2021,Peru,Arequipa,,66651,60721,0,5930
07-04-2021,Peru,Apurimac,,14531,13736,0,795
07-04-2021,Peru,Ancash,,53122,48622,0,4500
07-04-2021,Peru,Amazonas,,23536,22724,0,812
07-04-2021,Saint Vincent and the Grenadines,Main territory,,1766,129,1627,10
07-04-2021,Seychelles,Main territory,,4332,439,3869,24
07-04-2021,Sri Lanka,Main territory,,93910,2405,90917,588
07-04-2021,Uruguay,Main territory,,126987,26919,98837,1231
07-04-2021,Germany,Other,,9072,9072,0,0
07-04-2021,Germany,Thuringen,,99350,9046,86860,3444
07-04-2021,Germany,Schleswig-Holstein,,51864,4156,46260,1448
07-04-2021,Germany,Sachsen-Anhalt,,76541,5958,67780,2803
07-04-2021,Germany,Sachsen,,229450,15575,205400,8475
07-04-2021,Germany,Saarland,,32807,1531,30330,946
07-04-2021,Germany,Rheinland-Pfalz,,120870,8808,108700,3362
07-04-2021,Germany,Nordrhein-Westfalen,,633940,47478,572000,14462
07-04-2021,Germany,Niedersachsen,,205087,13525,186600,4962
07-04-2021,Germany,Mecklenburg-Vorpommern,,32341,2724,28730,887
07-04-2021,Germany,Hessen,,227581,18740,202400,6441
07-04-2021,Germany,Hamburg,,63826,7242,55180,1404
07-04-2021,Germany,Bremen,,21697,1492,19790,415
07-04-2021,Germany,Brandenburg,,90999,6551,81090,3358
07-04-2021,Germany,Berlin,,150385,8487,138800,3098
07-04-2021,Germany,Bavaria,,517336,36817,467100,13419
07-04-2021,Germany,Baden-Wurttemberg,,377133,27002,341300,8831
07-04-2021,Zimbabwe,Main territory,,36984,650,34803,1531
07-04-2021,Thailand,Main territory,,29905,2937,26873,95
07-04-2021,Netherlands,Zuid-Holland,,312153,308131,0,4022
07-04-2021,Netherlands,Zeeland,,21887,21664,0,223
07-04-2021,Netherlands,Utrecht,,102698,101494,0,1204
07-04-2021,Netherlands,Other,,2751,2738,0,13
07-04-2021,Netherlands,Sint Maarten,,2174,41,2106,27
07-04-2021,Netherlands,Overijssel,,87538,86462,0,1076
07-04-2021,Netherlands,Noord-Holland,,227892,225453,0,2439
07-04-2021,Netherlands,Noord-Brabant,,208376,205359,0,3017
07-04-2021,Netherlands,Limburg,,86300,84775,0,1525
07-04-2021,Netherlands,Groningen,,31662,31424,0,238
07-04-2021,Netherlands,Gelderland,,146053,144146,0,1907
07-04-2021,Netherlands,Friesland,,34307,33855,0,452
07-04-2021,Netherlands,Flevoland,,30056,29830,0,226
07-04-2021,Netherlands,Drenthe,,27680,27350,0,330
07-04-2021,Netherlands,Curacao,,10185,4550,5579,56
07-04-2021,Netherlands,"Bonaire, Sint Eustatius and Saba",,196,13,180,3
07-04-2021,Netherlands,Aruba,,9834,572,9170,92
07-04-2021,Kuwait,Main territory,,241469,14064,226026,1379
07-04-2021,Liberia,Main territory,,2042,58,1899,85
07-04-2021,Sudan,Main territory,,31833,5556,24214,2063
07-04-2021,Azerbaijan,Main territory,,276464,28144,244540,3780
07-04-2021,Bolivia,Main territory,,277966,37769,227812,12385
07-04-2021,Romania,Main territory,,988624,78353,885710,24561
07-04-2021,Honduras,Main territory,,193029,114027,74299,4703
07-04-2021,Madagascar,Main territory,,26127,2711,22947,469
07-04-2021,Austria,Main territory,,566008,33688,522774,9546
07-04-2021,Luxembourg,Main territory,,62793,3487,58544,762
07-04-2021,Bosnia and Herzegovina,Main territory,,179248,34874,137242,7132
07-04-2021,Argentina,Main territory,,2450068,218611,2174625,56832
07-04-2021,Botswana,Main territory,,41710,4136,36958,616
07-04-2021,Dominican Republic,Main territory,,254937,36625,214943,3369
07-04-2021,Mozambique,Main territory,,68431,9583,58063,785
07-04-2021,Cuba,Main territory,,82601,5276,76883,442
07-04-2021,Barbados,Main territory,,3691,91,3557,43
07-04-2021,Denmark,Main territory,,234931,8672,223824,2435
07-04-2021,Denmark,Greenland,,31,0,31,0
07-04-2021,Denmark,Faroe Islands,,661,0,660,1
07-04-2021,Kosovo,Main territory,,95015,13357,79702,1956
07-04-2021,Lebanon,Main territory,,485918,88209,391197,6512
07-04-2021,Mongolia,Main territory,,12226,5297,6912,17
07-04-2021,Liechtenstein,Main territory,,2702,45,2601,56
07-04-2021,Libya,Main territory,,165287,11326,151189,2772
07-04-2021,South Sudan,Main territory,,10297,123,10061,113
07-04-2021,Grenada,Main territory,,155,2,152,1
07-04-2021,Indonesia,Main territory,,1547376,113570,1391742,42064
07-04-2021,Papua New Guinea,Main territory,,7634,6720,846,68
07-04-2021,Ireland,Main territory,,239325,211229,23364,4732
07-04-2021,San Marino,Main territory,,4904,472,4347,85
07-04-2021,Uganda,Main territory,,41046,24,40685,337
07-04-2021,Switzerland,Main territory,,612575,284543,317600,10432
07-04-2021,Spain,Other,,0,0,0,0
07-04-2021,Spain,Pais Vasco,,166773,146666,16160,3947
07-04-2021,Spain,Navarra,,55584,50555,3905,1124
07-04-2021,Spain,Murcia,,108996,105244,2180,1572
07-04-2021,Spain,Melilla,,8072,7864,125,83
07-04-2021,Spain,Madrid,,635461,580063,40736,14662
07-04-2021,Spain,La Rioja,,28193,24338,3107,748
07-04-2021,Spain,Galicia,,117487,105938,9204,2345
07-04-2021,Spain,Extremadura,,71803,67391,2652,1760
07-04-2021,Spain,Ceuta,,5327,5066,163,98
07-04-2021,Spain,Catalonia,,543680,503955,26203,13522
07-04-2021,Spain,Castilla y Leon,,214908,199534,8716,6658
07-04-2021,Spain,Castilla - La Mancha,,177253,165090,6392,5771
07-04-2021,Spain,Cantabria,,26490,23658,2287,545
07-04-2021,Spain,Canarias,,48230,46006,1537,687
07-04-2021,Spain,C. Valenciana,,386631,369511,9970,7150
07-04-2021,Spain,Baleares,,58000,55689,1533,778
07-04-2021,Spain,Asturias,,48019,45048,1063,1908
07-04-2021,Spain,Aragon,,112210,105074,3772,3364
07-04-2021,Spain,Andalusia,,513619,493633,10671,9315
07-04-2021,Mali,Main territory,,10841,3408,7033,400
07-04-2021,Paraguay,Main territory,,227116,35802,186730,4584
07-04-2021,Latvia,Main territory,,105176,6976,96254,1946
07-04-2021,Laos,Main territory,,49,2,47,0
07-04-2021,Bhutan,Main territory,,900,25,874,1
07-04-2021,Myanmar,Main territory,,142541,7506,131829,3206
07-04-2021,Finland,Main territory,,80416,33554,46000,862
07-04-2021,Nepal,Main territory,,278768,2201,273529,3038
