Day,Country,Province,County,Confirmed,Active,Recovered,Deaths
04-01-2021,Monaco,Main territory,,917,171,743,3
04-01-2021,Poland,Main territory,,1322947,224232,1069554,29161
04-01-2021,Senegal,Main territory,,19803,1764,17615,424
04-01-2021,Morocco,Main territory,,443802,21292,414972,7538
04-01-2021,Iraq,Main territory,,598369,39996,545529,12844
04-01-2021,Fiji,Main territory,,49,3,44,2
04-01-2021,Greece,Main territory,,140526,41751,93764,5011
04-01-2021,Haiti,Main territory,,10127,1219,8672,236
04-01-2021,Peru,Other,,0,-958682,958682,0
04-01-2021,Peru,Ucayali,,20563,18976,0,1587
04-01-2021,Peru,Tumbes,,9485,8708,0,777
04-01-2021,Peru,Tacna,,14800,14000,0,800
04-01-2021,Peru,San Martin,,25847,24235,0,1612
04-01-2021,Peru,Puno,,19434,17891,0,1543
04-01-2021,Peru,Piura,,42920,36536,0,6384
04-01-2021,Peru,Pasco,,6659,6316,0,343
04-01-2021,Peru,Moquegua,,16153,15259,0,894
04-01-2021,Peru,Madre de Dios,,9605,9448,0,157
04-01-2021,Peru,Loreto,,26412,23661,0,2751
04-01-2021,Peru,Lima,,451577,409186,0,42391
04-01-2021,Peru,Lambayeque,,33451,28822,0,4629
04-01-2021,Peru,La Libertad,,37602,32762,0,4840
04-01-2021,Peru,Junin,,28467,26034,0,2433
04-01-2021,Peru,Ica,,32167,28449,0,3718
04-01-2021,Peru,Huanuco,,20688,19601,0,1087
04-01-2021,Peru,Huancavelica,,7918,7522,0,396
04-01-2021,Peru,Cusco,,25510,23908,0,1602
04-01-2021,Peru,Callao,,43559,38342,0,5217
04-01-2021,Peru,Cajamarca,,25414,23804,0,1610
04-01-2021,Peru,Ayacucho,,15360,14520,0,840
04-01-2021,Peru,Arequipa,,48518,44236,0,4282
04-01-2021,Peru,Apurimac,,7663,7291,0,372
04-01-2021,Peru,Ancash,,31151,28242,0,2909
04-01-2021,Peru,Amazonas,,18552,17978,0,574
04-01-2021,Saint Vincent and the Grenadines,Main territory,,124,24,100,0
04-01-2021,Seychelles,Main territory,,322,107,214,1
04-01-2021,Sri Lanka,Main territory,,45242,7210,37817,215
04-01-2021,Uruguay,Main territory,,21426,5676,15539,211
04-01-2021,Germany,Other,,3154,3154,0,0
04-01-2021,Germany,Thuringen,,45112,10530,33472,1110
04-01-2021,Germany,Schleswig-Holstein,,25986,5636,19875,475
04-01-2021,Germany,Sachsen-Anhalt,,32831,6879,25234,718
04-01-2021,Germany,Sachsen,,141060,30748,106900,3412
04-01-2021,Germany,Saarland,,20775,1746,18539,490
04-01-2021,Germany,Rheinland-Pfalz,,74986,16963,56492,1531
04-01-2021,Germany,Nordrhein-Westfalen,,404488,60339,337139,7010
04-01-2021,Germany,Niedersachsen,,111453,13577,95775,2101
04-01-2021,Germany,Mecklenburg-Vorpommern,,12741,2431,10120,190
04-01-2021,Germany,Hessen,,141012,24841,113076,3095
04-01-2021,Germany,Hamburg,,37883,8895,28317,671
04-01-2021,Germany,Bremen,,13807,1135,12464,208
04-01-2021,Germany,Brandenburg,,47857,12292,34370,1195
04-01-2021,Germany,Berlin,,99536,16673,81536,1327
04-01-2021,Germany,Bavaria,,337095,55808,274124,7163
04-01-2021,Germany,Baden-Wurttemberg,,246440,43379,198009,5052
04-01-2021,Zimbabwe,Main territory,,15829,3729,11716,384
04-01-2021,Thailand,Main territory,,8966,4504,4397,65
04-01-2021,Netherlands,Zuid-Holland,,207745,204883,0,2862
04-01-2021,Netherlands,Zeeland,,11043,10911,0,132
04-01-2021,Netherlands,Utrecht,,69035,68146,0,889
04-01-2021,Netherlands,Other,,3729,3696,0,33
04-01-2021,Netherlands,Sint Maarten,,1465,68,1370,27
