Day,Country,Province,County,Confirmed,Active,Recovered,Deaths
03-03-2021,Monaco,Main territory,,1981,201,1754,26
03-03-2021,Poland,Main territory,,1735406,249567,1441479,44360
03-03-2021,Senegal,Main territory,,35037,4521,29620,896
03-03-2021,Morocco,Main territory,,484753,5675,470425,8653
03-03-2021,Iraq,Main territory,,708951,48849,646619,13483
03-03-2021,Fiji,Main territory,,63,7,54,2
03-03-2021,Greece,Main territory,,197279,96918,93764,6597
03-03-2021,Haiti,Main territory,,12531,2453,9828,250
03-03-2021,Peru,Other,,0,-1244029,1244029,0
03-03-2021,Peru,Ucayali,,22831,20945,0,1886
03-03-2021,Peru,Tumbes,,11785,10837,0,948
03-03-2021,Peru,Tacna,,20288,18967,0,1321
03-03-2021,Peru,San Martin,,29868,28068,0,1800
03-03-2021,Peru,Puno,,23995,21759,0,2236
03-03-2021,Peru,Piura,,50187,42681,0,7506
03-03-2021,Peru,Pasco,,9468,8881,0,587
03-03-2021,Peru,Moquegua,,20101,18994,0,1107
03-03-2021,Peru,Madre de Dios,,10238,10060,0,178
03-03-2021,Peru,Loreto,,32298,28893,0,3405
03-03-2021,Peru,Lima,,618517,561021,0,57496
03-03-2021,Peru,Lambayeque,,38487,33013,0,5474
03-03-2021,Peru,La Libertad,,45988,40021,0,5967
03-03-2021,Peru,Junin,,43990,40137,0,3853
03-03-2021,Peru,Ica,,41285,36021,0,5264
03-03-2021,Peru,Huanuco,,25318,23490,0,1828
03-03-2021,Peru,Huancavelica,,9664,9051,0,613
03-03-2021,Peru,Cusco,,35671,33345,0,2326
03-03-2021,Peru,Callao,,58532,51644,0,6888
03-03-2021,Peru,Cajamarca,,33414,31360,0,2054
03-03-2021,Peru,Ayacucho,,19644,18533,0,1111
03-03-2021,Peru,Arequipa,,60867,55412,0,5455
03-03-2021,Peru,Apurimac,,11432,10796,0,636
03-03-2021,Peru,Ancash,,43142,39406,0,3736
03-03-2021,Peru,Amazonas,,21287,20578,0,709
03-03-2021,Saint Vincent and the Grenadines,Main territory,,1645,688,949,8
03-03-2021,Seychelles,Main territory,,2890,345,2532,13
03-03-2021,Sri Lanka,Main territory,,84226,3305,80437,484
03-03-2021,Uruguay,Main territory,,60074,7472,51978,624
03-03-2021,Germany,Other,,729,729,0,0
03-03-2021,Germany,Thuringen,,77800,4897,69986,2917
03-03-2021,Germany,Schleswig-Holstein,,43117,2908,38893,1316
03-03-2021,Germany,Sachsen-Anhalt,,61689,3694,55504,2491
03-03-2021,Germany,Sachsen,,196134,7175,181050,7909
03-03-2021,Germany,Saarland,,29240,1143,27204,893
03-03-2021,Germany,Rheinland-Pfalz,,103138,4407,95598,3133
03-03-2021,Germany,Nordrhein-Westfalen,,538211,25823,499124,13264
03-03-2021,Germany,Niedersachsen,,166951,9196,153364,4391
03-03-2021,Germany,Mecklenburg-Vorpommern,,25107,2226,22124,757
03-03-2021,Germany,Hessen,,190675,9253,175528,5894
03-03-2021,Germany,Hamburg,,52466,3601,47569,1296
03-03-2021,Germany,Bremen,,18258,858,17048,352
03-03-2021,Germany,Brandenburg,,77335,3683,70588,3064
03-03-2021,Germany,Berlin,,130533,4932,122739,2862
03-03-2021,Germany,Bavaria,,441590,18061,410970,12559
03-03-2021,Germany,Baden-Wurttemberg,,319940,12314,299439,8187
03-03-2021,Zimbabwe,Main territory,,36179,1309,33392,1478
03-03-2021,Thailand,Main territory,,26108,461,25562,85
03-03-2021,Netherlands,Zuid-Holland,,259078,255302,0,3776
03-03-2021,Netherlands,Zeeland,,16822,16642,0,180
03-03-2021,Netherlands,Utrecht,,87431,86286,0,1145
03-03-2021,Netherlands,Other,,1800,1789,0,11
03-03-2021,Netherlands,Sint Maarten,,2065,20,2018,27
03-03-2021,Netherlands,Overijssel,,76431,75395,0,1036
03-03-2021,Netherlands,Noord-Holland,,189400,187131,0,2269
03-03-2021,Netherlands,Noord-Brabant,,173551,170656,0,2895
03-03-2021,Netherlands,Limburg,,72274,70838,0,1436
03-03-2021,Netherlands,Groningen,,26594,26385,0,209
03-03-2021,Netherlands,Gelderland,,123094,121274,0,1820
03-03-2021,Netherlands,Friesland,,26754,26350,0,404
03-03-2021,Netherlands,Flevoland,,26032,25816,0,216
03-03-2021,Netherlands,Drenthe,,22169,21869,0,300
03-03-2021,Netherlands,Curacao,,4740,60,4658,22
03-03-2021,Netherlands,"Bonaire, Sint Eustatius and Saba",,196,13,180,3
03-03-2021,Netherlands,Aruba,,7973,174,7724,75
03-03-2021,Kuwait,Main territory,,194781,11488,182196,1097
03-03-2021,Liberia,Main territory,,2017,48,1884,85
