Day,Country,Province,County,Confirmed,Active,Recovered,Deaths
04-07-2020,Monaco,Main territory,,106,7,95,4
04-07-2020,Poland,Main territory,,35719,11080,23127,1512
04-07-2020,Senegal,Main territory,,7272,2430,4713,129
04-07-2020,Morocco,Main territory,,13822,4261,9329,232
04-07-2020,Iraq,Main territory,,58354,24909,31077,2368
04-07-2020,Fiji,Main territory,,18,0,18,0
04-07-2020,Greece,Main territory,,3511,1945,1374,192
04-07-2020,Haiti,Main territory,,6101,4583,1408,110
04-07-2020,Peru,Other,,0,-189621,189621,0
04-07-2020,Peru,Ucayali,,8032,6957,0,1075
04-07-2020,Peru,Tumbes,,3066,2622,0,444
04-07-2020,Peru,Tacna,,1007,967,0,40
04-07-2020,Peru,San Martin,,5821,5097,0,724
04-07-2020,Peru,Puno,,1028,960,0,68
04-07-2020,Peru,Piura,,17721,14128,0,3593
04-07-2020,Peru,Pasco,,1164,1114,0,50
04-07-2020,Peru,Moquegua,,1078,1036,0,42
04-07-2020,Peru,Madre de Dios,,2119,2049,0,70
04-07-2020,Peru,Loreto,,9343,7042,0,2301
04-07-2020,Peru,Lima,,163824,144234,0,19590
04-07-2020,Peru,Lambayeque,,14137,11759,0,2378
04-07-2020,Peru,La Libertad,,10727,8710,0,2017
04-07-2020,Peru,Junin,,4216,3768,0,448
04-07-2020,Peru,Ica,,8195,6769,0,1426
04-07-2020,Peru,Huanuco,,2693,2452,0,241
04-07-2020,Peru,Huancavelica,,950,919,0,31
04-07-2020,Peru,Cusco,,1906,1841,0,65
04-07-2020,Peru,Callao,,18339,15471,0,2868
04-07-2020,Peru,Cajamarca,,2470,2266,0,204
04-07-2020,Peru,Ayacucho,,1934,1824,0,110
04-07-2020,Peru,Arequipa,,7649,6800,0,849
04-07-2020,Peru,Apurimac,,589,556,0,33
04-07-2020,Peru,Ancash,,8510,7224,0,1286
04-07-2020,Peru,Amazonas,,2562,2407,0,155
04-07-2020,Saint Vincent and the Grenadines,Main territory,,29,0,29,0
04-07-2020,Seychelles,Main territory,,81,70,11,0
04-07-2020,Sri Lanka,Main territory,,2074,178,1885,11
04-07-2020,Uruguay,Main territory,,955,87,840,28
04-07-2020,Germany,Other,,1008,743,265,0
04-07-2020,Germany,Thuringen,,3267,26,3060,181
04-07-2020,Germany,Schleswig-Holstein,,3181,29,3000,152
04-07-2020,Germany,Sachsen-Anhalt,,1882,65,1758,59
04-07-2020,Germany,Sachsen,,5458,54,5180,224
04-07-2020,Germany,Saarland,,2807,48,2585,174
04-07-2020,Germany,Rheinland-Pfalz,,7080,210,6635,235
04-07-2020,Germany,Nordrhein-Westfalen,,43853,2943,39222,1688
04-07-2020,Germany,Niedersachsen,,13647,676,12334,637
04-07-2020,Germany,Mecklenburg-Vorpommern,,804,12,772,20
04-07-2020,Germany,Hessen,,10918,398,10009,511
04-07-2020,Germany,Hamburg,,5219,59,4900,260
04-07-2020,Germany,Bremen,,1681,64,1564,53
04-07-2020,Germany,Brandenburg,,3488,106,3210,172
04-07-2020,Germany,Berlin,,8433,572,7646,215
04-07-2020,Germany,Bavaria,,48655,765,45290,2600
04-07-2020,Germany,Baden-Wurttemberg,,35817,408,33570,1839
04-07-2020,Zimbabwe,Main territory,,698,509,181,8
04-07-2020,Thailand,Main territory,,3185,61,3066,58
04-07-2020,Netherlands,Main territory,,50335,44222,0,6113
04-07-2020,Netherlands,Sint Maarten,,78,0,63,15
04-07-2020,Netherlands,Curacao,,23,3,19,1
04-07-2020,Netherlands,"Bonaire, Sint Eustatius and Saba",,7,0,7,0
04-07-2020,Netherlands,Aruba,,105,4,98,3
04-07-2020,Kuwait,Main territory,,49303,8995,39943,365
04-07-2020,Liberia,Main territory,,869,463,369,37
04-07-2020,Sudan,Main territory,,9689,4408,4673,608
04-07-2020,Azerbaijan,Main territory,,19801,8269,11291,241
04-07-2020,Bolivia,Main territory,,38071,25421,11272,1378
04-07-2020,Romania,Main territory,,28582,6997,19854,1731
04-07-2020,Honduras,Main territory,,22921,19905,2387,629
04-07-2020,Madagascar,Main territory,,2728,1621,1078,29
04-07-2020,Austria,Main territory,,18165,853,16607,705
04-07-2020,Luxembourg,Main territory,,4476,350,4016,110
04-07-2020,Bosnia and Herzegovina,Main territory,,4962,2221,2550,191
04-07-2020,Argentina,Main territory,,75376,47965,25930,1481
04-07-2020,Botswana,Main territory,,277,247,29,1
04-07-2020,Dominican Republic,Main territory,,36184,16796,18602,786
04-07-2020,Mozambique,Main territory,,969,706,256,7
04-07-2020,Cuba,Main territory,,2369,56,2227,86
04-07-2020,Barbados,Main territory,,97,0,90,7
04-07-2020,Denmark,Main territory,,12832,409,11817,606
04-07-2020,Denmark,Greenland,,13,0,13,0
04-07-2020,Denmark,Faroe Islands,,187,0,187,0
04-07-2020,Kosovo,Main territory,,3064,1302,1707,55
04-07-2020,Lebanon,Main territory,,1855,516,1304,35
04-07-2020,Mongolia,Main territory,,220,35,185,0
04-07-2020,Liechtenstein,Main territory,,83,1,81,1
04-07-2020,Libya,Main territory,,989,704,258,27
04-07-2020,South Sudan,Main territory,,2021,1650,333,38
04-07-2020,Grenada,Main territory,,23,0,23,0
04-07-2020,Indonesia,Main territory,,62142,30834,28219,3089
04-07-2020,Papua New Guinea,Main territory,,11,3,8,0
04-07-2020,Ireland,Main territory,,25509,404,23364,1741
04-07-2020,San Marino,Main territory,,698,0,656,42
04-07-2020,Uganda,Main territory,,927,59,868,0
04-07-2020,Switzerland,Main territory,,32198,1033,29200,1965
04-07-2020,Spain,Other,,0,0,0,0
04-07-2020,Spain,Pais Vasco,,13809,-3912,16160,1561
04-07-2020,Spain,Navarra,,5477,1044,3905,528
04-07-2020,Spain,Murcia,,1697,-631,2180,148
04-07-2020,Spain,Melilla,,126,-1,125,2
04-07-2020,Spain,Madrid,,72168,22993,40736,8439
04-07-2020,Spain,La Rioja,,4078,605,3107,366
04-07-2020,Spain,Galicia,,9251,-572,9204,619
04-07-2020,Spain,Extremadura,,3047,-124,2652,519
04-07-2020,Spain,Ceuta,,163,-4,163,4
04-07-2020,Spain,Catalonia,,62057,30181,26203,5673
04-07-2020,Spain,Castilla y Leon,,19753,8250,8716,2787
04-07-2020,Spain,Castilla - La Mancha,,18209,8791,6392,3026
04-07-2020,Spain,Cantabria,,2364,-139,2287,216
04-07-2020,Spain,Canarias,,2436,737,1537,162
04-07-2020,Spain,C. Valenciana,,11630,228,9970,1432
04-07-2020,Spain,Baleares,,2228,471,1533,224
04-07-2020,Spain,Asturias,,2435,1038,1063,334
04-07-2020,Spain,Aragon,,6412,1728,3772,912
04-07-2020,Spain,Andalusia,,13205,1101,10671,1433
04-07-2020,Mali,Main territory,,2303,669,1516,118
04-07-2020,Paraguay,Main territory,,2385,1231,1134,20
04-07-2020,Latvia,Main territory,,1123,93,1000,30
04-07-2020,Laos,Main territory,,19,0,19,0
04-07-2020,Bhutan,Main territory,,78,27,51,0
04-07-2020,Myanmar,Main territory,,313,67,240,6
04-07-2020,Finland,Main territory,,7248,219,6700,329
04-07-2020,Nepal,Main territory,,15491,9042,6415,34
04-07-2020,Singapore,Main territory,,44664,4521,40117,26
04-07-2020,Iceland,Main territory,,1860,17,1833,10
04-07-2020,Egypt,Main territory,,74035,50652,20103,3280
04-07-2020,Andorra,Main territory,,855,3,800,52
04-07-2020,Malawi,Main territory,,1613,1279,317,17
04-07-2020,Malta,Main territory,,672,12,651,9
04-07-2020,Costa Rica,Main territory,,4621,2882,1721,18
04-07-2020,Cameroon,Main territory,,12592,2179,10100,313
04-07-2020,Mauritius,Main territory,,341,1,330,10
04-07-2020,Italy,Veneto,,19318,388,16907,2023
04-07-2020,Italy,Valle d'Aosta,,1196,4,1046,146
04-07-2020,Italy,Umbria,,1447,9,1358,80
04-07-2020,Italy,Toscana,,10276,324,8838,1114
04-07-2020,Italy,Sicilia,,3094,138,2674,282
04-07-2020,Italy,Sardegna,,1369,13,1223,133
04-07-2020,Italy,Puglia,,4536,111,3880,545
04-07-2020,Italy,Piemonte,,31405,1217,26086,4102
04-07-2020,Italy,P.A. Trento,,4873,48,4420,405
04-07-2020,Italy,P.A. Bolzano,,2645,85,2268,292
04-07-2020,Italy,Molise,,445,21,401,23
04-07-2020,Italy,Marche,,6789,203,5599,987
04-07-2020,Italy,Lombardia,,94318,9426,68201,16691
04-07-2020,Italy,Liguria,,9991,283,8150,1558
04-07-2020,Italy,Lazio,,8172,854,6477,841
04-07-2020,Italy,Friuli Venezia Giulia,,3326,73,2908,345
04-07-2020,Italy,Emilia-Romagna,,28613,1037,23309,4267
04-07-2020,Italy,Campania,,4714,198,4084,432
04-07-2020,Italy,Calabria,,1183,26,1060,97
04-07-2020,Italy,Basilicata,,404,4,373,27
04-07-2020,Italy,Abruzzo,,3305,159,2682,464
04-07-2020,Ecuador,Main territory,,61535,28259,28507,4769
04-07-2020,Qatar,Main territory,,99183,8673,90387,123
04-07-2020,Russia,Ярославская обл.,,4954,1224,3711,19
04-07-2020,Russia,Ямало-Ненецкий АО,,6368,3728,2597,43
04-07-2020,Russia,Чукотский АО,,139,5,133,1
04-07-2020,Russia,Чувашия,,5315,2295,2983,37
04-07-2020,Russia,Чечня,,1757,524,1209,24
04-07-2020,Russia,Челябинская обл.,,7730,3657,3985,88
04-07-2020,Russia,ХМАО – Югра,,10029,4813,5151,65
04-07-2020,Russia,Хакасия,,2013,607,1389,17
04-07-2020,Russia,Хабаровский край,,4555,2302,2223,30
04-07-2020,Russia,Ульяновская обл.,,6203,2714,3441,48
04-07-2020,Russia,Удмуртия,,1499,345,1137,17
04-07-2020,Russia,Тюменская обл.,,3397,1306,2073,18
04-07-2020,Russia,Тыва,,4927,3260,1663,4
