Day,Country,Province,County,Confirmed,Active,Recovered,Deaths
10-01-2021,Monaco,Main territory,,1057,203,850,4
10-01-2021,Poland,Main territory,,1385522,231015,1123318,31189
10-01-2021,Senegal,Main territory,,21245,2562,18218,465
10-01-2021,Morocco,Main territory,,452532,19893,424896,7743
10-01-2021,Iraq,Main territory,,602938,33301,556742,12895
10-01-2021,Fiji,Main territory,,53,4,47,2
10-01-2021,Greece,Main territory,,144738,45711,93764,5263
10-01-2021,Haiti,Main territory,,10241,1236,8768,237
10-01-2021,Peru,Other,,0,-968335,968335,0
10-01-2021,Peru,Ucayali,,20602,19007,0,1595
10-01-2021,Peru,Tumbes,,9544,8766,0,778
10-01-2021,Peru,Tacna,,14877,14065,0,812
10-01-2021,Peru,San Martin,,25966,24348,0,1618
10-01-2021,Peru,Puno,,19478,17917,0,1561
10-01-2021,Peru,Piura,,43251,36763,0,6488
10-01-2021,Peru,Pasco,,6696,6338,0,358
10-01-2021,Peru,Moquegua,,16252,15331,0,921
10-01-2021,Peru,Madre de Dios,,9609,9450,0,159
10-01-2021,Peru,Loreto,,26425,23670,0,2755
10-01-2021,Peru,Lima,,454697,411810,0,42887
10-01-2021,Peru,Lambayeque,,33603,28916,0,4687
10-01-2021,Peru,La Libertad,,37879,32986,0,4893
10-01-2021,Peru,Junin,,28763,26286,0,2477
10-01-2021,Peru,Ica,,32338,28566,0,3772
10-01-2021,Peru,Huanuco,,20888,19744,0,1144
10-01-2021,Peru,Huancavelica,,7935,7536,0,399
10-01-2021,Peru,Cusco,,25639,24013,0,1626
10-01-2021,Peru,Callao,,43911,38630,0,5281
10-01-2021,Peru,Cajamarca,,25729,24095,0,1634
10-01-2021,Peru,Ayacucho,,15427,14584,0,843
10-01-2021,Peru,Arequipa,,48783,44434,0,4349
10-01-2021,Peru,Apurimac,,7825,7422,0,403
10-01-2021,Peru,Ancash,,31484,28525,0,2959
10-01-2021,Peru,Amazonas,,18579,18002,0,577
10-01-2021,Saint Vincent and the Grenadines,Main territory,,249,149,100,0
10-01-2021,Seychelles,Main territory,,531,316,214,1
10-01-2021,Sri Lanka,Main territory,,48380,6823,41325,232
10-01-2021,Uruguay,Main territory,,26186,6917,19013,256
10-01-2021,Germany,Other,,2750,2750,0,0
10-01-2021,Germany,Thuringen,,51606,12083,38169,1354
10-01-2021,Germany,Schleswig-Holstein,,28624,6073,21997,554
10-01-2021,Germany,Sachsen-Anhalt,,37688,8159,28639,890
10-01-2021,Germany,Sachsen,,155682,30252,121300,4130
10-01-2021,Germany,Saarland,,22347,2180,19598,569
10-01-2021,Germany,Rheinland-Pfalz,,80449,16418,62251,1780
10-01-2021,Germany,Nordrhein-Westfalen,,429506,61905,359623,7978
10-01-2021,Germany,Niedersachsen,,120634,16072,102222,2340
10-01-2021,Germany,Mecklenburg-Vorpommern,,14769,3272,11255,242
10-01-2021,Germany,Hessen,,150790,25763,121514,3513
10-01-2021,Germany,Hamburg,,40693,8793,31080,820
10-01-2021,Germany,Bremen,,14372,1341,12808,223
10-01-2021,Germany,Brandenburg,,54894,14606,38798,1490
10-01-2021,Germany,Berlin,,106197,16629,88003,1565
10-01-2021,Germany,Bavaria,,356922,54421,294588,7913
10-01-2021,Germany,Baden-Wurttemberg,,261487,40850,215062,5575
10-01-2021,Zimbabwe,Main territory,,21477,8388,12582,507
10-01-2021,Thailand,Main territory,,10547,3914,6566,67
10-01-2021,Netherlands,Zuid-Holland,,216059,213075,0,2984
10-01-2021,Netherlands,Zeeland,,11986,11849,0,137
10-01-2021,Netherlands,Utrecht,,72053,71121,0,932
10-01-2021,Netherlands,Other,,1702,1690,0,12
10-01-2021,Netherlands,Sint Maarten,,1555,94,1434,27
10-01-2021,Netherlands,Overijssel,,61342,60552,0,790
10-01-2021,Netherlands,Noord-Holland,,147871,146079,0,1792
10-01-2021,Netherlands,Noord-Brabant,,136549,134060,0,2489
10-01-2021,Netherlands,Limburg,,53481,52331,0,1150
10-01-2021,Netherlands,Groningen,,18679,18550,0,129
10-01-2021,Netherlands,Gelderland,,98736,97324,0,1412
10-01-2021,Netherlands,Friesland,,17235,17041,0,194
10-01-2021,Netherlands,Flevoland,,21496,21331,0,165
10-01-2021,Netherlands,Drenthe,,15658,15483,0,175
10-01-2021,Netherlands,Curacao,,4458,557,3882,19
10-01-2021,Netherlands,"Bonaire, Sint Eustatius and Saba",,196,13,180,3
10-01-2021,Netherlands,Aruba,,6042,535,5456,51
10-01-2021,Kuwait,Main territory,,154314,4364,149007,943
10-01-2021,Liberia,Main territory,,1779,290,1406,83
10-01-2021,Sudan,Main territory,,27494,12502,13524,1468
10-01-2021,Azerbaijan,Main territory,,224651,13061,208681,2909
10-01-2021,Bolivia,Main territory,,173896,26433,138087,9376
10-01-2021,Romania,Main territory,,671284,56020,598610,16654
10-01-2021,Honduras,Main territory,,127945,65884,58788,3273
10-01-2021,Madagascar,Main territory,,18001,287,17447,267
10-01-2021,Austria,Main territory,,380722,20250,353749,6723
10-01-2021,Luxembourg,Main territory,,47744,2735,44482,527
10-01-2021,Bosnia and Herzegovina,Main territory,,115633,29678,81625,4330
10-01-2021,Argentina,Main territory,,1722217,165972,1511750,44495
10-01-2021,Botswana,Main territory,,16050,3075,12927,48
10-01-2021,Dominican Republic,Main territory,,182103,41600,138076,2427
10-01-2021,Mozambique,Main territory,,21939,4212,17535,192
