Day,Country,Province,County,Confirmed,Active,Recovered,Deaths
29-05-2020,Monaco,Main territory,,98,4,90,4
29-05-2020,Poland,Main territory,,23155,11412,10692,1051
29-05-2020,Senegal,Main territory,,3429,1650,1738,41
29-05-2020,Morocco,Main territory,,7714,2241,5271,202
29-05-2020,Iraq,Main territory,,5873,2644,3044,185
29-05-2020,Fiji,Main territory,,18,3,15,0
29-05-2020,Greece,Main territory,,2909,1360,1374,175
29-05-2020,Haiti,Main territory,,1320,1264,22,34
29-05-2020,Peru,Other,,0,-62791,62791,0
29-05-2020,Peru,Ucayali,,3530,2733,0,797
29-05-2020,Peru,Tumbes,,1219,1048,0,171
29-05-2020,Peru,Tacna,,372,359,0,13
29-05-2020,Peru,San Martin,,1093,1029,0,64
29-05-2020,Peru,Puno,,322,304,0,18
29-05-2020,Peru,Piura,,6942,4891,0,2051
29-05-2020,Peru,Pasco,,426,406,0,20
29-05-2020,Peru,Moquegua,,447,437,0,10
29-05-2020,Peru,Madre de Dios,,402,396,0,6
29-05-2020,Peru,Loreto,,3959,2139,0,1820
29-05-2020,Peru,Lima,,87478,77957,0,9521
29-05-2020,Peru,Lambayeque,,7020,5474,0,1546
29-05-2020,Peru,La Libertad,,3818,3436,0,382
29-05-2020,Peru,Junin,,1675,1515,0,160
29-05-2020,Peru,Ica,,2662,2207,0,455
29-05-2020,Peru,Huanuco,,780,724,0,56
29-05-2020,Peru,Huancavelica,,383,366,0,17
29-05-2020,Peru,Cusco,,916,893,0,23
29-05-2020,Peru,Callao,,9953,8440,0,1513
29-05-2020,Peru,Cajamarca,,669,629,0,40
29-05-2020,Peru,Ayacucho,,639,605,0,34
29-05-2020,Peru,Arequipa,,2921,2774,0,147
29-05-2020,Peru,Apurimac,,152,144,0,8
29-05-2020,Peru,Ancash,,3455,2883,0,572
29-05-2020,Peru,Amazonas,,546,512,0,34
29-05-2020,Saint Vincent and the Grenadines,Main territory,,26,12,14,0
29-05-2020,Seychelles,Main territory,,11,0,11,0
29-05-2020,Sri Lanka,Main territory,,1558,794,754,10
29-05-2020,Uruguay,Main territory,,816,114,680,22
29-05-2020,Germany,Other,,1768,1768,0,0
29-05-2020,Germany,Thuringen,,2961,232,2570,159
29-05-2020,Germany,Schleswig-Holstein,,3078,134,2800,144
29-05-2020,Germany,Sachsen-Anhalt,,1704,53,1596,55
29-05-2020,Germany,Sachsen,,5289,249,4830,210
29-05-2020,Germany,Saarland,,2731,77,2489,165
29-05-2020,Germany,Rheinland-Pfalz,,6673,298,6145,230
29-05-2020,Germany,Nordrhein-Westfalen,,37803,1916,34300,1587
29-05-2020,Germany,Niedersachsen,,11893,697,10600,596
29-05-2020,Germany,Mecklenburg-Vorpommern,,760,20,720,20
29-05-2020,Germany,Hessen,,9962,686,8800,476
29-05-2020,Germany,Hamburg,,5078,133,4700,245
29-05-2020,Germany,Bremen,,1404,162,1200,42
29-05-2020,Germany,Brandenburg,,3271,102,3000,169
29-05-2020,Germany,Berlin,,6766,329,6240,197
29-05-2020,Germany,Bavaria,,47073,1953,42660,2460
29-05-2020,Germany,Baden-Wurttemberg,,34708,1364,31595,1749
29-05-2020,Zimbabwe,Main territory,,149,117,28,4
29-05-2020,Thailand,Main territory,,3076,74,2945,57
29-05-2020,Netherlands,Main territory,,46126,40195,0,5931
29-05-2020,Netherlands,Sint Maarten,,77,2,60,15
29-05-2020,Netherlands,Curacao,,18,3,14,1
29-05-2020,Netherlands,"Bonaire, Sint Eustatius and Saba",,6,0,6,0
29-05-2020,Netherlands,Aruba,,101,0,98,3
29-05-2020,Kuwait,Main territory,,25184,15717,9273,194
29-05-2020,Liberia,Main territory,,273,100,146,27
29-05-2020,Sudan,Main territory,,4346,3297,816,233
29-05-2020,Azerbaijan,Main territory,,4989,1806,3125,58
29-05-2020,Bolivia,Main territory,,8731,7682,749,300
29-05-2020,Romania,Main territory,,18982,4905,12829,1248
29-05-2020,Honduras,Main territory,,4752,4037,519,196
29-05-2020,Madagascar,Main territory,,698,529,164,5
29-05-2020,Austria,Main territory,,16655,640,15347,668
29-05-2020,Luxembourg,Main territory,,4012,87,3815,110
29-05-2020,Bosnia and Herzegovina,Main territory,,2485,529,1803,153
29-05-2020,Argentina,Main territory,,15419,10111,4788,520
29-05-2020,Botswana,Main territory,,35,14,20,1
29-05-2020,Dominican Republic,Main territory,,16531,6777,9266,488
29-05-2020,Mozambique,Main territory,,234,148,84,2
29-05-2020,Cuba,Main territory,,2005,163,1760,82
29-05-2020,Barbados,Main territory,,92,9,76,7
29-05-2020,Denmark,Main territory,,11593,785,10240,568
29-05-2020,Denmark,Greenland,,13,2,11,0
29-05-2020,Denmark,Faroe Islands,,187,0,187,0
29-05-2020,Kosovo,Main territory,,1048,217,801,30
29-05-2020,Lebanon,Main territory,,1172,441,705,26
29-05-2020,Mongolia,Main territory,,179,136,43,0
29-05-2020,Liechtenstein,Main territory,,82,26,55,1
29-05-2020,Libya,Main territory,,118,72,41,5
29-05-2020,South Sudan,Main territory,,994,978,6,10
29-05-2020,Grenada,Main territory,,23,5,18,0
29-05-2020,Indonesia,Main territory,,25216,17204,6492,1520
29-05-2020,Papua New Guinea,Main territory,,8,0,8,0
29-05-2020,Ireland,Main territory,,24876,1142,22089,1645
29-05-2020,San Marino,Main territory,,671,285,344,42
29-05-2020,Uganda,Main territory,,329,257,72,0
29-05-2020,Switzerland,Main territory,,30828,609,28300,1919
29-05-2020,Spain,Other,,0,0,0,0
29-05-2020,Spain,Pais Vasco,,13494,-4090,16160,1424
29-05-2020,Spain,Navarra,,5238,843,3905,490
29-05-2020,Spain,Murcia,,1595,-733,2180,148
29-05-2020,Spain,Melilla,,121,-6,125,2
29-05-2020,Spain,Madrid,,68597,19170,40736,8691
29-05-2020,Spain,La Rioja,,4048,581,3107,360
29-05-2020,Spain,Galicia,,9117,-695,9204,608
29-05-2020,Spain,Extremadura,,2963,-196,2652,507
29-05-2020,Spain,Ceuta,,145,-22,163,4
29-05-2020,Spain,Catalonia,,58699,26912,26203,5584
29-05-2020,Spain,Castilla y Leon,,18747,8109,8716,1922
29-05-2020,Spain,Castilla - La Mancha,,17122,7785,6392,2945
29-05-2020,Spain,Cantabria,,2298,-191,2287,202
29-05-2020,Spain,Canarias,,2333,645,1537,151
29-05-2020,Spain,C. Valenciana,,11191,-113,9970,1334
29-05-2020,Spain,Baleares,,2129,387,1533,209
29-05-2020,Spain,Asturias,,2401,1028,1063,310
29-05-2020,Spain,Aragon,,5671,1073,3772,826
29-05-2020,Spain,Andalusia,,12655,580,10671,1404
29-05-2020,Mali,Main territory,,1226,484,669,73
29-05-2020,Paraguay,Main territory,,917,493,413,11
29-05-2020,Latvia,Main territory,,1064,295,745,24
29-05-2020,Laos,Main territory,,19,3,16,0
29-05-2020,Bhutan,Main territory,,31,25,6,0
29-05-2020,Myanmar,Main territory,,207,71,130,6
29-05-2020,Finland,Main territory,,6776,962,5500,314
29-05-2020,Nepal,Main territory,,1212,1000,206,6
29-05-2020,Singapore,Main territory,,33860,14206,19631,23
29-05-2020,Iceland,Main territory,,1805,1,1794,10
29-05-2020,Egypt,Main territory,,22082,15692,5511,879
29-05-2020,Andorra,Main territory,,764,29,684,51
29-05-2020,Malawi,Main territory,,273,227,42,4
29-05-2020,Malta,Main territory,,616,93,514,9
29-05-2020,Costa Rica,Main territory,,1022,359,653,10
29-05-2020,Cameroon,Main territory,,5436,1933,3326,177
29-05-2020,Mauritius,Main territory,,335,3,322,10
29-05-2020,Italy,Veneto,,19134,1849,15379,1906
29-05-2020,Italy,Valle d'Aosta,,1182,19,1020,143
29-05-2020,Italy,Umbria,,1431,31,1324,76
29-05-2020,Italy,Toscana,,10088,1255,7802,1031
29-05-2020,Italy,Sicilia,,3440,1137,2031,272
29-05-2020,Italy,Sardegna,,1356,190,1036,130
29-05-2020,Italy,Puglia,,4482,1283,2699,500
29-05-2020,Italy,Piemonte,,30501,5658,20992,3851
29-05-2020,Italy,P.A. Trento,,4428,410,3556,462
29-05-2020,Italy,P.A. Bolzano,,2595,154,2150,291
29-05-2020,Italy,Molise,,436,162,252,22
29-05-2020,Italy,Marche,,6723,1352,4385,986
29-05-2020,Italy,Lombardia,,88537,22683,49842,16012
29-05-2020,Italy,Liguria,,9619,994,7173,1452
29-05-2020,Italy,Lazio,,7709,3163,3825,721
29-05-2020,Italy,Friuli Venezia Giulia,,3267,323,2611,333
29-05-2020,Italy,Emilia-Romagna,,27739,3564,20073,4102
29-05-2020,Italy,Campania,,4787,986,3390,411
29-05-2020,Italy,Calabria,,1158,159,902,97
29-05-2020,Italy,Basilicata,,399,33,339,27
29-05-2020,Italy,Abruzzo,,3237,770,2063,404
29-05-2020,Ecuador,Main territory,,38571,16047,19190,3334
29-05-2020,Qatar,Main territory,,52907,32267,20604,36
29-05-2020,Russia,Ярославская обл.,,2976,2264,698,14
29-05-2020,Russia,Ямало-Ненецкий АО,,2280,1373,898,9
29-05-2020,Russia,Чукотский АО,,73,22,50,1
29-05-2020,Russia,Чувашия,,2709,1510,1187,12
29-05-2020,Russia,Чечня,,1192,392,787,13
29-05-2020,Russia,Челябинская обл.,,2509,1388,1106,15
29-05-2020,Russia,ХМАО – Югра,,2133,1388,728,17
29-05-2020,Russia,Хакасия,,910,369,531,10
29-05-2020,Russia,Хабаровский край,,1959,1023,925,11
29-05-2020,Russia,Ульяновская обл.,,2271,1629,634,8
29-05-2020,Russia,Удмуртия,,605,198,395,12
29-05-2020,Russia,Тюменская обл.,,1580,790,783,7
29-05-2020,Russia,Тыва,,942,854,86,2
29-05-2020,Russia,Тульская обл.,,3644,1938,1673,33
29-05-2020,Russia,Томская обл.,,645,355,279,11
29-05-2020,Russia,Тверская обл.,,1517,471,1024,22
29-05-2020,Russia,Татарстан,,3079,587,2482,10
