Day,Country,Province,County,Confirmed,Active,Recovered,Deaths
23-07-2021,Libya,Main territory,,229604,40792,185468,3344
23-07-2021,Australia,Western Australia,,1048,14,1025,9
23-07-2021,Australia,Victoria,,20891,169,19902,820
23-07-2021,Australia,Tasmania,,234,0,221,13
23-07-2021,Australia,South Australia,,851,25,822,4
23-07-2021,Australia,Queensland,,1763,49,1707,7
23-07-2021,Australia,Northern Territory,,191,3,188,0
23-07-2021,Australia,New South Wales,,7492,7432,0,60
23-07-2021,Australia,Australian Capital Territory,,124,0,121,3
23-07-2021,Czechia,Main territory,,1672140,3187,1638606,30347
23-07-2021,Micronesia,Main territory,,1,0,1,0
23-07-2021,Benin,Main territory,,8324,92,8125,107
23-07-2021,Belgium,West Flanders,,100162,100162,0,0
23-07-2021,Belgium,Walloon Brabant,,42894,42894,0,0
23-07-2021,Belgium,Other,,21626,-3591,0,25217
23-07-2021,Belgium,Namur,,60353,60353,0,0
23-07-2021,Belgium,Luxembourg,,31525,31525,0,0
23-07-2021,Belgium,Limburg,,62625,62625,0,0
23-07-2021,Belgium,Liege,,133066,133066,0,0
23-07-2021,Belgium,Hainaut,,162407,162407,0,0
23-07-2021,Belgium,Flemish Brabant,,85963,85963,0,0
23-07-2021,Belgium,East Flanders,,128023,128023,0,0
23-07-2021,Belgium,Brussels,,137724,137724,0,0
23-07-2021,Belgium,Antwerp,,145793,145793,0,0
23-07-2021,Bahrain,Main territory,,268338,834,266123,1381
23-07-2021,Russia,Севастополь,,19468,1518,17134,816
23-07-2021,Russia,Крым,,56751,6547,48520,1684
23-07-2021,Russia,Забайкальский край,,54022,4594,48546,882
23-07-2021,Russia,Ярославская обл.,,48141,4487,42840,814
23-07-2021,Russia,Ямало-Ненецкий АО,,42587,1578,40551,458
23-07-2021,Russia,Воронежская обл.,,100186,2898,93842,3446
23-07-2021,Russia,Вологодская обл.,,52930,4318,47291,1321
23-07-2021,Russia,Волгоградская обл.,,68711,5335,61669,1707
23-07-2021,Russia,Владимирская обл.,,41527,1413,38725,1389
23-07-2021,Russia,Ульяновская обл.,,63551,2135,59511,1905
23-07-2021,Russia,Удмуртия,,38691,4329,33209,1153
23-07-2021,Russia,Тыва,,19938,2473,17237,228
23-07-2021,Russia,Тюменская обл.,,44362,1878,41564,920
23-07-2021,Russia,Тверская обл.,,51568,6539,43730,1299
23-07-2021,Russia,Тульская обл.,,46263,3245,40641,2377
23-07-2021,Russia,Томская обл.,,36204,2534,33174,496
23-07-2021,Russia,Татарстан,,23516,1986,20938,592
23-07-2021,Russia,Тамбовская обл.,,36921,1287,34963,671
23-07-2021,Russia,Свердловская обл.,,103445,2977,96263,4205
23-07-2021,Russia,Ставропольский край,,62136,4543,55766,1827
23-07-2021,Russia,Смоленская обл.,,39934,5014,33646,1274
23-07-2021,Russia,Саратовская обл.,,71080,2931,66525,1624
23-07-2021,Russia,Самарская обл.,,73277,1923,68813,2541
23-07-2021,Russia,Сахалинская обл.,,26586,1543,24943,100
23-07-2021,Russia,Саха (Якутия),,43565,3292,39411,862
23-07-2021,Russia,Санкт-Петербург,,513329,5949,488690,18690
23-07-2021,Russia,Рязанская обл.,,34117,1536,31827,754
23-07-2021,Russia,Ростовская обл.,,106444,6628,94783,5033
23-07-2021,Russia,Псковская обл.,,42684,6782,35364,538
23-07-2021,Russia,Приморский край,,52486,5331,46270,885
23-07-2021,Russia,Пермский край,,69562,5090,61420,3052
23-07-2021,Russia,Пензенская обл.,,54346,6859,46046,1441
23-07-2021,Russia,Оренбургская обл.,,53713,7029,45474,1210
23-07-2021,Russia,Орловская обл.,,39504,1375,37317,812
23-07-2021,Russia,Омская обл.,,58242,3639,52996,1607
23-07-2021,Russia,Новосибирская обл.,,51068,4870,43940,2258
23-07-2021,Russia,Новгородская обл.,,35245,1869,33175,201
23-07-2021,Russia,Северная Осетия,,18270,1066,16958,246
23-07-2021,Russia,Нижегородская обл.,,136268,7264,124158,4846
23-07-2021,Russia,Ненецкий АО,,1480,218,1252,10
23-07-2021,Russia,Мурманская обл.,,59863,7786,50584,1493
23-07-2021,Russia,Московская обл.,,370997,64389,299613,6995
23-07-2021,Russia,Москва,,1481296,136843,1319555,24898
23-07-2021,Russia,Мордовия,,23314,2244,20682,388
23-07-2021,Russia,Марий Эл,,15599,777,14473,349
23-07-2021,Russia,Магаданская обл.,,9264,548,8576,140
23-07-2021,Russia,Липецкая обл.,,37772,3585,33117,1070
23-07-2021,Russia,Ленинградская обл.,,54149,5579,46559,2011
23-07-2021,Russia,Курская обл.,,44918,1445,42423,1050
23-07-2021,Russia,Курганская обл.,,24752,1514,22762,476
23-07-2021,Russia,Красноярский край,,87115,9229,73608,4278
23-07-2021,Russia,Краснодарский край,,56976,6296,46716,3964
23-07-2021,Russia,Костромская обл.,,26080,3831,21664,585
23-07-2021,Russia,Коми,,52945,5001,46801,1143
23-07-2021,Russia,Кировская обл.,,49323,2373,46530,420
23-07-2021,Russia,ХМАО – Югра,,63779,2447,60425,907
23-07-2021,Russia,Хакасия,,28860,2849,25304,707
23-07-2021,Russia,Хабаровский край,,62875,5384,56900,591
23-07-2021,Russia,Кемеровская обл.,,44246,1695,41616,935
23-07-2021,Russia,Карелия,,54459,2811,50950,698
23-07-2021,Russia,Карачаево-Черкессия,,21926,1090,20581,255
23-07-2021,Russia,Камчатский край,,16355,1718,14399,238
23-07-2021,Russia,Калужская обл.,,40053,1915,37692,446
23-07-2021,Russia,Калмыкия,,23880,2013,21411,456
23-07-2021,Russia,Калининградская обл.,,41330,2064,38700,566
23-07-2021,Russia,Кабардино-Балкария,,26318,1354,24396,568
23-07-2021,Russia,Еврейская АО,,5423,794,4457,172
23-07-2021,Russia,Ивановская обл.,,40482,1554,37564,1364
23-07-2021,Russia,Иркутская обл.,,82251,7469,71307,3475
23-07-2021,Russia,Ингушетия,,17196,896,16093,207
23-07-2021,Russia,Дагестан,,40096,2604,35852,1640
23-07-2021,Russia,Чувашия,,28712,922,26122,1668
23-07-2021,Russia,Чукотский АО,,1069,269,792,8
23-07-2021,Russia,Челябинская обл.,,70899,4598,64266,2035
23-07-2021,Russia,Чечня,,14972,1920,12780,272
23-07-2021,Russia,Бурятия,,50627,2901,46109,1617
23-07-2021,Russia,Брянская обл.,,51853,4186,46948,719
23-07-2021,Russia,Белгородская обл.,,43460,1901,40709,850
23-07-2021,Russia,Башкортостан,,46211,2793,42701,717
23-07-2021,Russia,Астраханская обл.,,41065,4161,35893,1011
23-07-2021,Russia,Архангельская обл.,,72217,3059,68076,1082
23-07-2021,Russia,Амурская обл.,,26652,2010,24311,331
23-07-2021,Russia,Алтай,,19002,1047,17692,263
23-07-2021,Russia,Алтайский край,,59909,8795,48333,2781
23-07-2021,Russia,Адыгея,,15864,741,14840,283
23-07-2021,Bhutan,Main territory,,2470,253,2215,2
23-07-2021,Tanzania,Main territory,,509,305,183,21
23-07-2021,Singapore,Main territory,,63924,1301,62587,36
23-07-2021,Estonia,Main territory,,132262,2677,128314,1271
23-07-2021,Eswatini,Main territory,,21880,1753,19392,735
23-07-2021,Germany,Other,,6995,6995,0,0
23-07-2021,Germany,Thuringen,,129025,363,124300,4362
23-07-2021,Germany,Schleswig-Holstein,,64567,649,62290,1628
23-07-2021,Germany,Sachsen-Anhalt,,99452,138,95860,3454
23-07-2021,Germany,Sachsen,,286359,431,275800,10128
23-07-2021,Germany,Saarland,,41846,237,40580,1029
23-07-2021,Germany,Rheinland-Pfalz,,156700,1096,151700,3904
23-07-2021,Germany,Nordrhein-Westfalen,,822225,4457,800500,17268
23-07-2021,Germany,Niedersachsen,,263404,1597,256000,5807
23-07-2021,Germany,Mecklenburg-Vorpommern,,44271,136,42960,1175
23-07-2021,Germany,Hessen,,293393,1820,284000,7573
23-07-2021,Germany,Hamburg,,78282,775,75900,1607
23-07-2021,Germany,Bremen,,27719,197,27030,492
23-07-2021,Germany,Brandenburg,,109011,396,104800,3815
23-07-2021,Germany,Berlin,,181537,1260,176700,3577
23-07-2021,Germany,Bavaria,,651478,3359,632800,15319
23-07-2021,Germany,Baden-Wurttemberg,,504027,2751,490900,10376
23-07-2021,Turkey,Main territory,,5574997,113622,5410554,50821
23-07-2021,Laos,Main territory,,4342,2163,2174,5
23-07-2021,Hungary,Main territory,,809101,33804,745277,30020
23-07-2021,Equatorial Guinea,Main territory,,8863,103,8637,123
23-07-2021,Kiribati,Main territory,,2,2,0,0
23-07-2021,Chad,Main territory,,4967,13,4780,174
23-07-2021,China,Zhejiang,,1393,19,1373,1
