Day,Country,Province,County,Confirmed,Active,Recovered,Deaths
12-11-2020,Monaco,Main territory,,532,122,408,2
12-11-2020,Poland,Main territory,,641496,378067,254349,9080
12-11-2020,Senegal,Main territory,,15744,32,15386,326
12-11-2020,Morocco,Main territory,,276821,46211,226040,4570
12-11-2020,Iraq,Main territory,,511806,61046,439228,11532
12-11-2020,Fiji,Main territory,,35,1,32,2
12-11-2020,Greece,Main territory,,66637,42604,23074,959
12-11-2020,Haiti,Main territory,,9152,1219,7701,232
12-11-2020,Peru,Other,,0,-853208,853208,0
12-11-2020,Peru,Ucayali,,18598,17070,0,1528
12-11-2020,Peru,Tumbes,,8770,8057,0,713
12-11-2020,Peru,Tacna,,13489,12724,0,765
12-11-2020,Peru,San Martin,,22513,20965,0,1548
12-11-2020,Peru,Puno,,17692,16256,0,1436
12-11-2020,Peru,Piura,,39265,33647,0,5618
12-11-2020,Peru,Pasco,,5941,5651,0,290
12-11-2020,Peru,Moquegua,,14711,13886,0,825
12-11-2020,Peru,Madre de Dios,,8983,8834,0,149
12-11-2020,Peru,Loreto,,23116,20409,0,2707
12-11-2020,Peru,Lima,,417066,376874,0,40192
12-11-2020,Peru,Lambayeque,,29415,25269,0,4146
12-11-2020,Peru,La Libertad,,33815,29322,0,4493
12-11-2020,Peru,Junin,,24157,21888,0,2269
12-11-2020,Peru,Ica,,30375,26917,0,3458
12-11-2020,Peru,Huanuco,,18153,17189,0,964
12-11-2020,Peru,Huancavelica,,7435,7065,0,370
12-11-2020,Peru,Cusco,,23092,21614,0,1478
12-11-2020,Peru,Callao,,38791,33802,0,4989
12-11-2020,Peru,Cajamarca,,22857,21378,0,1479
12-11-2020,Peru,Ayacucho,,13754,12972,0,782
12-11-2020,Peru,Arequipa,,45262,41237,0,4025
12-11-2020,Peru,Apurimac,,6058,5771,0,287
12-11-2020,Peru,Ancash,,27374,24687,0,2687
12-11-2020,Peru,Amazonas,,17324,16784,0,540
12-11-2020,Saint Vincent and the Grenadines,Main territory,,77,3,74,0
12-11-2020,Seychelles,Main territory,,160,3,157,0
12-11-2020,Sri Lanka,Main territory,,15723,5022,10653,48
12-11-2020,Uruguay,Main territory,,3795,629,3103,63
12-11-2020,Germany,Other,,10625,10625,0,0
12-11-2020,Germany,Thuringen,,10099,2850,7009,240
12-11-2020,Germany,Schleswig-Holstein,,10924,3102,7609,213
12-11-2020,Germany,Sachsen-Anhalt,,7645,2565,4975,105
12-11-2020,Germany,Sachsen,,31538,13794,17270,474
12-11-2020,Germany,Saarland,,9884,2431,7234,219
12-11-2020,Germany,Rheinland-Pfalz,,30250,12496,17402,352
12-11-2020,Germany,Nordrhein-Westfalen,,191011,69603,118827,2581
12-11-2020,Germany,Niedersachsen,,51770,15675,35213,882
12-11-2020,Germany,Mecklenburg-Vorpommern,,4165,1495,2634,36
12-11-2020,Germany,Hessen,,61055,24596,35623,836
12-11-2020,Germany,Hamburg,,18915,7796,10809,310
12-11-2020,Germany,Bremen,,7848,2391,5364,93
12-11-2020,Germany,Brandenburg,,12482,3559,8688,235
12-11-2020,Germany,Berlin,,45106,16829,27943,334
12-11-2020,Germany,Bavaria,,148882,47944,97857,3081
12-11-2020,Germany,Baden-Wurttemberg,,110633,38657,69751,2225
12-11-2020,Zimbabwe,Main territory,,8696,381,8060,255
12-11-2020,Thailand,Main territory,,3861,104,3697,60
12-11-2020,Netherlands,Zuid-Holland,,124597,122614,0,1983
12-11-2020,Netherlands,Zeeland,,4771,4688,0,83
12-11-2020,Netherlands,Utrecht,,36693,36093,0,600
12-11-2020,Netherlands,Other,,2643,2618,0,25
12-11-2020,Netherlands,Sint Maarten,,914,66,825,23
12-11-2020,Netherlands,Overijssel,,25034,24565,0,469
12-11-2020,Netherlands,Noord-Holland,,79614,78471,0,1143
12-11-2020,Netherlands,Noord-Brabant,,67140,65246,0,1894
12-11-2020,Netherlands,Limburg,,19740,18912,0,828
12-11-2020,Netherlands,Groningen,,6885,6841,0,44
12-11-2020,Netherlands,Gelderland,,41945,41019,0,926
12-11-2020,Netherlands,Friesland,,6883,6784,0,99
12-11-2020,Netherlands,Flevoland,,8238,8120,0,118
12-11-2020,Netherlands,Drenthe,,6270,6178,0,92
