Day,Country,Province,County,Confirmed,Active,Recovered,Deaths
26-05-2021,Monaco,Main territory,,2503,10,2461,32
26-05-2021,Poland,Main territory,,2868450,164564,2630581,73305
26-05-2021,Senegal,Main territory,,41181,192,39854,1135
26-05-2021,Morocco,Main territory,,517808,2616,506061,9131
26-05-2021,Iraq,Main territory,,1181698,71291,1094140,16267
26-05-2021,Fiji,Main territory,,286,127,155,4
26-05-2021,Greece,Main territory,,395094,289414,93764,11916
26-05-2021,Haiti,Main territory,,14037,1236,12509,292
26-05-2021,Peru,Other,,4990,-1882307,1887133,164
26-05-2021,Peru,Ucayali,,31105,28181,0,2924
26-05-2021,Peru,Tumbes,,16358,14912,0,1446
26-05-2021,Peru,Tacna,,24936,23249,0,1687
26-05-2021,Peru,San Martin,,43444,40732,0,2712
26-05-2021,Peru,Puno,,31877,28612,0,3265
26-05-2021,Peru,Piura,,76839,65840,0,10999
26-05-2021,Peru,Pasco,,14003,13106,0,897
26-05-2021,Peru,Moquegua,,24371,23078,0,1293
26-05-2021,Peru,Madre de Dios,,13074,12833,0,241
26-05-2021,Peru,Loreto,,39731,35767,0,3964
26-05-2021,Peru,Lima,,873690,790123,0,83567
26-05-2021,Peru,Lambayeque,,54771,47043,0,7728
26-05-2021,Peru,La Libertad,,76204,66887,0,9317
26-05-2021,Peru,Junin,,70757,64746,0,6011
26-05-2021,Peru,Ica,,51827,44350,0,7477
26-05-2021,Peru,Huanuco,,31766,29361,0,2405
26-05-2021,Peru,Huancavelica,,14464,13420,0,1044
26-05-2021,Peru,Cusco,,61356,57299,0,4057
26-05-2021,Peru,Callao,,94731,85300,0,9431
26-05-2021,Peru,Cajamarca,,57504,53831,0,3673
26-05-2021,Peru,Ayacucho,,28488,26640,0,1848
26-05-2021,Peru,Arequipa,,81381,74128,0,7253
26-05-2021,Peru,Apurimac,,22599,21308,0,1291
26-05-2021,Peru,Ancash,,68691,62618,0,6073
26-05-2021,Peru,Amazonas,,28288,27219,0,1069
26-05-2021,Saint Vincent and the Grenadines,Main territory,,2006,163,1831,12
26-05-2021,Seychelles,Main territory,,10740,1179,9523,38
26-05-2021,Sri Lanka,Main territory,,172277,28601,142378,1298
