Day,Country,Province,County,Confirmed,Active,Recovered,Deaths
01-02-2021,Monaco,Main territory,,1499,202,1283,14
01-02-2021,Poland,Main territory,,1515889,202031,1276636,37222
01-02-2021,Senegal,Main territory,,26927,4144,22145,638
01-02-2021,Morocco,Main territory,,471438,13099,450052,8287
01-02-2021,Iraq,Main territory,,620620,14179,593384,13057
01-02-2021,Fiji,Main territory,,55,0,53,2
01-02-2021,Greece,Main territory,,157495,57902,93764,5829
01-02-2021,Haiti,Main territory,,11533,2190,9098,245
01-02-2021,Peru,Other,,0,-1052050,1052050,0
01-02-2021,Peru,Ucayali,,21500,19819,0,1681
01-02-2021,Peru,Tumbes,,10409,9574,0,835
01-02-2021,Peru,Tacna,,16959,15984,0,975
01-02-2021,Peru,San Martin,,27629,25955,0,1674
01-02-2021,Peru,Puno,,21053,19293,0,1760
01-02-2021,Peru,Piura,,46362,39408,0,6954
01-02-2021,Peru,Pasco,,7869,7397,0,472
01-02-2021,Peru,Moquegua,,17957,16924,0,1033
01-02-2021,Peru,Madre de Dios,,9770,9603,0,167
01-02-2021,Peru,Loreto,,27358,24507,0,2851
01-02-2021,Peru,Lima,,509864,462771,0,47093
01-02-2021,Peru,Lambayeque,,35639,30653,0,4986
01-02-2021,Peru,La Libertad,,40210,34949,0,5261
01-02-2021,Peru,Junin,,35130,32172,0,2958
01-02-2021,Peru,Ica,,35834,31601,0,4233
01-02-2021,Peru,Huanuco,,23339,21838,0,1501
01-02-2021,Peru,Huancavelica,,8522,8067,0,455
01-02-2021,Peru,Cusco,,28681,26865,0,1816
01-02-2021,Peru,Callao,,48498,42764,0,5734
01-02-2021,Peru,Cajamarca,,28719,26949,0,1770
01-02-2021,Peru,Ayacucho,,16956,16046,0,910
01-02-2021,Peru,Arequipa,,53781,49038,0,4743
01-02-2021,Peru,Apurimac,,9632,9129,0,503
01-02-2021,Peru,Ancash,,36867,33584,0,3283
01-02-2021,Peru,Amazonas,,19701,19078,0,623
01-02-2021,Saint Vincent and the Grenadines,Main territory,,901,648,251,2
01-02-2021,Seychelles,Main territory,,1223,166,1052,5
01-02-2021,Sri Lanka,Main territory,,64983,6585,58075,323
01-02-2021,Uruguay,Main territory,,42128,6149,35535,444
01-02-2021,Germany,Other,,3618,3618,0,0
01-02-2021,Germany,Thuringen,,65821,7230,56360,2231
01-02-2021,Germany,Schleswig-Holstein,,36343,5419,30007,917
01-02-2021,Germany,Sachsen-Anhalt,,52584,7199,43588,1797
01-02-2021,Germany,Sachsen,,180623,13656,160600,6367
01-02-2021,Germany,Saarland,,25829,1782,23292,755
01-02-2021,Germany,Rheinland-Pfalz,,93372,11185,79614,2573
01-02-2021,Germany,Nordrhein-Westfalen,,487938,43059,433906,10973
01-02-2021,Germany,Niedersachsen,,143160,11804,128032,3324
01-02-2021,Germany,Mecklenburg-Vorpommern,,20022,2879,16669,474
01-02-2021,Germany,Hessen,,172367,16607,150834,4926
01-02-2021,Germany,Hamburg,,46562,5623,39865,1074
01-02-2021,Germany,Bremen,,16033,1172,14588,273
01-02-2021,Germany,Brandenburg,,69188,9455,57330,2403
01-02-2021,Germany,Berlin,,120397,10452,107650,2295
01-02-2021,Germany,Bavaria,,404215,32655,361064,10496
01-02-2021,Germany,Baden-Wurttemberg,,294255,23341,263733,7181
01-02-2021,Zimbabwe,Main territory,,33548,5731,26583,1234
01-02-2021,Thailand,Main territory,,20454,7158,13217,79
01-02-2021,Netherlands,Zuid-Holland,,235492,232094,0,3398
01-02-2021,Netherlands,Zeeland,,14440,14282,0,158
01-02-2021,Netherlands,Utrecht,,78917,77900,0,1017
01-02-2021,Netherlands,Other,,1556,1546,0,10
01-02-2021,Netherlands,Sint Maarten,,1870,144,1699,27
01-02-2021,Netherlands,Overijssel,,70015,69066,0,949
01-02-2021,Netherlands,Noord-Holland,,165511,163500,0,2011
01-02-2021,Netherlands,Noord-Brabant,,153683,151010,0,2673
01-02-2021,Netherlands,Limburg,,63760,62462,0,1298
01-02-2021,Netherlands,Groningen,,22257,22099,0,158
01-02-2021,Netherlands,Gelderland,,112022,110371,0,1651
01-02-2021,Netherlands,Friesland,,21551,21286,0,265
01-02-2021,Netherlands,Flevoland,,23869,23675,0,194
01-02-2021,Netherlands,Drenthe,,18590,18347,0,243
01-02-2021,Netherlands,Curacao,,4585,62,4502,21
01-02-2021,Netherlands,"Bonaire, Sint Eustatius and Saba",,196,13,180,3
01-02-2021,Netherlands,Aruba,,6986,334,6593,59
01-02-2021,Kuwait,Main territory,,165843,6408,158476,959
01-02-2021,Liberia,Main territory,,1944,100,1760,84
01-02-2021,Sudan,Main territory,,29449,6133,21504,1812
01-02-2021,Azerbaijan,Main territory,,230296,3685,223475,3136
01-02-2021,Bolivia,Main territory,,218299,47534,160326,10439
01-02-2021,Romania,Main territory,,730056,35887,675767,18402
01-02-2021,Honduras,Main territory,,147843,83360,60873,3610
01-02-2021,Madagascar,Main territory,,19065,569,18215,281
01-02-2021,Austria,Main territory,,415522,13997,393747,7778
01-02-2021,Luxembourg,Main territory,,50733,2175,47974,584
01-02-2021,Bosnia and Herzegovina,Main territory,,122199,22295,95180,4724
01-02-2021,Argentina,Main territory,,1933853,155605,1729999,48249
01-02-2021,Botswana,Main territory,,22738,4122,18468,148
01-02-2021,Dominican Republic,Main territory,,215086,53623,158775,2688
01-02-2021,Mozambique,Main territory,,39460,14481,24593,386
01-02-2021,Cuba,Main territory,,27592,5520,21856,216
01-02-2021,Barbados,Main territory,,1558,375,1169,14
01-02-2021,Denmark,Main territory,,198960,8848,187967,2145
01-02-2021,Denmark,Greenland,,30,0,30,0
01-02-2021,Denmark,Faroe Islands,,654,5,648,1
01-02-2021,Kosovo,Main territory,,60218,6281,52439,1498
01-02-2021,Lebanon,Main territory,,303072,119050,180877,3145
01-02-2021,Mongolia,Main territory,,1832,472,1358,2
01-02-2021,Liechtenstein,Main territory,,2497,69,2376,52
01-02-2021,Libya,Main territory,,119402,17933,99586,1883
01-02-2021,South Sudan,Main territory,,3929,252,3613,64
01-02-2021,Grenada,Main territory,,148,5,142,1
01-02-2021,Indonesia,Main territory,,1089308,175349,883682,30277
01-02-2021,Papua New Guinea,Main territory,,867,30,828,9
01-02-2021,Ireland,Main territory,,197553,170872,23364,3317
01-02-2021,San Marino,Main territory,,3025,235,2723,67
