Day,Country,Province,County,Confirmed,Active,Recovered,Deaths
01-03-2021,Monaco,Main territory,,1965,221,1720,24
01-03-2021,Poland,Main territory,,1711772,237118,1430861,43793
01-03-2021,Senegal,Main territory,,34732,4691,29161,880
01-03-2021,Morocco,Main territory,,483766,5784,469345,8637
01-03-2021,Iraq,Main territory,,699088,46021,639639,13428
01-03-2021,Fiji,Main territory,,59,3,54,2
01-03-2021,Greece,Main territory,,192270,91972,93764,6534
01-03-2021,Haiti,Main territory,,12448,2435,9763,250
01-03-2021,Peru,Other,,13442,-1219486,1232528,400
01-03-2021,Peru,Ucayali,,22636,20760,0,1876
01-03-2021,Peru,Tumbes,,11520,10583,0,937
01-03-2021,Peru,Tacna,,19972,18672,0,1300
01-03-2021,Peru,San Martin,,29634,27853,0,1781
01-03-2021,Peru,Puno,,23767,21557,0,2210
01-03-2021,Peru,Piura,,49767,42297,0,7470
01-03-2021,Peru,Pasco,,9366,8785,0,581
01-03-2021,Peru,Moquegua,,19873,18770,0,1103
01-03-2021,Peru,Madre de Dios,,10150,9976,0,174
01-03-2021,Peru,Loreto,,31457,28093,0,3364
01-03-2021,Peru,Lima,,606712,549991,0,56721
01-03-2021,Peru,Lambayeque,,38054,32617,0,5437
01-03-2021,Peru,La Libertad,,45100,39177,0,5923
01-03-2021,Peru,Junin,,43263,39458,0,3805
01-03-2021,Peru,Ica,,40802,35591,0,5211
01-03-2021,Peru,Huanuco,,25179,23362,0,1817
01-03-2021,Peru,Huancavelica,,9565,8960,0,605
01-03-2021,Peru,Cusco,,34834,32547,0,2287
01-03-2021,Peru,Callao,,57532,50724,0,6808
01-03-2021,Peru,Cajamarca,,32878,30848,0,2030
01-03-2021,Peru,Ayacucho,,19237,18139,0,1098
01-03-2021,Peru,Arequipa,,60207,54809,0,5398
01-03-2021,Peru,Apurimac,,11280,10658,0,622
01-03-2021,Peru,Ancash,,42507,38803,0,3704
01-03-2021,Peru,Amazonas,,21071,20368,0,703
01-03-2021,Saint Vincent and the Grenadines,Main territory,,1628,682,938,8
01-03-2021,Seychelles,Main territory,,2688,312,2365,11
01-03-2021,Sri Lanka,Main territory,,83552,3654,79422,476
01-03-2021,Uruguay,Main territory,,58589,7354,50624,611
01-03-2021,Germany,Other,,4291,4291,0,0
01-03-2021,Germany,Thuringen,,76636,5031,68725,2880
01-03-2021,Germany,Schleswig-Holstein,,42638,3218,38116,1304
01-03-2021,Germany,Sachsen-Anhalt,,61063,3751,54858,2454
01-03-2021,Germany,Sachsen,,194790,7073,179900,7817
01-03-2021,Germany,Saarland,,28980,1201,26893,886
01-03-2021,Germany,Rheinland-Pfalz,,102444,4725,94608,3111
01-03-2021,Germany,Nordrhein-Westfalen,,533871,27415,493315,13141
01-03-2021,Germany,Niedersachsen,,165339,10341,150672,4326
01-03-2021,Germany,Mecklenburg-Vorpommern,,24613,2205,21663,745
01-03-2021,Germany,Hessen,,188912,9679,173390,5843
01-03-2021,Germany,Hamburg,,52049,3771,47000,1278
01-03-2021,Germany,Bremen,,18071,977,16747,347
01-03-2021,Germany,Brandenburg,,76721,4064,69633,3024
01-03-2021,Germany,Berlin,,129604,5195,121584,2825
01-03-2021,Germany,Bavaria,,438074,18802,406841,12431
01-03-2021,Germany,Baden-Wurttemberg,,317473,12597,296774,8102
01-03-2021,Zimbabwe,Main territory,,36115,1742,32905,1468
01-03-2021,Thailand,Main territory,,26031,624,25324,83
01-03-2021,Netherlands,Zuid-Holland,,257151,253404,0,3747
01-03-2021,Netherlands,Zeeland,,16613,16435,0,178
01-03-2021,Netherlands,Utrecht,,86855,85722,0,1133
01-03-2021,Netherlands,Other,,1775,1764,0,11
01-03-2021,Netherlands,Sint Maarten,,2060,29,2004,27
01-03-2021,Netherlands,Overijssel,,75948,74912,0,1036
01-03-2021,Netherlands,Noord-Holland,,187376,185118,0,2258
01-03-2021,Netherlands,Noord-Brabant,,172137,169253,0,2884
01-03-2021,Netherlands,Limburg,,71794,70364,0,1430
01-03-2021,Netherlands,Groningen,,26317,26116,0,201
01-03-2021,Netherlands,Gelderland,,122255,120443,0,1812
01-03-2021,Netherlands,Friesland,,26487,26095,0,392
01-03-2021,Netherlands,Flevoland,,25867,25656,0,211
01-03-2021,Netherlands,Drenthe,,21877,21586,0,291
01-03-2021,Netherlands,Curacao,,4731,64,4645,22
01-03-2021,Netherlands,"Bonaire, Sint Eustatius and Saba",,196,13,180,3
01-03-2021,Netherlands,Aruba,,7908,179,7655,74
01-03-2021,Kuwait,Main territory,,192031,10791,180155,1085
01-03-2021,Liberia,Main territory,,2014,45,1884,85
01-03-2021,Sudan,Main territory,,30364,5499,22975,1890
01-03-2021,Azerbaijan,Main territory,,234662,2600,228839,3223
01-03-2021,Bolivia,Main territory,,249767,44449,193652,11666
01-03-2021,Romania,Main territory,,804090,42216,741471,20403
01-03-2021,Honduras,Main territory,,170985,100102,66709,4174
01-03-2021,Madagascar,Main territory,,19831,238,19296,297
01-03-2021,Austria,Main territory,,460849,20259,432016,8574
01-03-2021,Luxembourg,Main territory,,55480,2822,52019,639
01-03-2021,Bosnia and Herzegovina,Main territory,,130979,10061,115847,5071
01-03-2021,Argentina,Main territory,,2112023,148608,1911338,52077
01-03-2021,Botswana,Main territory,,30727,5511,24884,332
01-03-2021,Dominican Republic,Main territory,,239998,44814,192078,3106
01-03-2021,Mozambique,Main territory,,59607,17541,41413,653
01-03-2021,Cuba,Main territory,,50590,4160,46106,324
01-03-2021,Barbados,Main territory,,3115,636,2443,36
01-03-2021,Denmark,Main territory,,211692,6810,202517,2365
01-03-2021,Denmark,Greenland,,30,0,30,0
01-03-2021,Denmark,Faroe Islands,,658,0,657,1
01-03-2021,Kosovo,Main territory,,68451,7419,59440,1592
01-03-2021,Lebanon,Main territory,,376938,77925,294270,4743
01-03-2021,Mongolia,Main territory,,3000,668,2330,2
01-03-2021,Liechtenstein,Main territory,,2575,37,2484,54
01-03-2021,Libya,Main territory,,134127,10801,121116,2210
01-03-2021,South Sudan,Main territory,,8010,3699,4217,94
01-03-2021,Grenada,Main territory,,148,0,147,1
01-03-2021,Indonesia,Main territory,,1341314,153074,1151915,36325
01-03-2021,Papua New Guinea,Main territory,,1365,505,846,14
01-03-2021,Ireland,Main territory,,220273,192590,23364,4319
01-03-2021,San Marino,Main territory,,3746,396,3276,74
01-03-2021,Uganda,Main territory,,40367,25044,14989,334
01-03-2021,Switzerland,Main territory,,557492,229904,317600,9988
01-03-2021,Spain,Other,,0,0,0,0
01-03-2021,Spain,Pais Vasco,,151509,131618,16160,3731
01-03-2021,Spain,Navarra,,51379,46380,3905,1094
01-03-2021,Spain,Murcia,,106388,102726,2180,1482
01-03-2021,Spain,Melilla,,6981,6784,125,72
01-03-2021,Spain,Madrid,,586913,532303,40736,13874
01-03-2021,Spain,La Rioja,,27463,23631,3107,725
01-03-2021,Spain,Galicia,,112070,100640,9204,2226
01-03-2021,Spain,Extremadura,,69043,64673,2652,1718
01-03-2021,Spain,Ceuta,,4616,4371,163,82
01-03-2021,Spain,Catalonia,,582073,545140,26203,10730
01-03-2021,Spain,Castilla y Leon,,206184,191123,8716,6345
01-03-2021,Spain,Castilla - La Mancha,,169170,157165,6392,5613
01-03-2021,Spain,Cantabria,,24699,21902,2287,510
01-03-2021,Spain,Canarias,,40887,38754,1537,596
01-03-2021,Spain,C. Valenciana,,379103,362475,9970,6658
01-03-2021,Spain,Baleares,,56164,53906,1533,725
01-03-2021,Spain,Asturias,,43540,40707,1063,1770
01-03-2021,Spain,Aragon,,106860,99823,3772,3265
01-03-2021,Spain,Andalusia,,479489,460425,10671,8393
01-03-2021,Mali,Main territory,,8390,1627,6408,355
01-03-2021,Paraguay,Main territory,,160448,22858,134392,3198
01-03-2021,Latvia,Main territory,,86458,9582,75255,1621
01-03-2021,Laos,Main territory,,45,3,42,0
01-03-2021,Bhutan,Main territory,,867,1,865,1
01-03-2021,Myanmar,Main territory,,141916,7230,131487,3199
01-03-2021,Finland,Main territory,,58064,11314,46000,750
01-03-2021,Nepal,Main territory,,274216,968,270471,2777
01-03-2021,Singapore,Main territory,,59948,89,59830,29
01-03-2021,Iceland,Main territory,,6054,13,6012,29
01-03-2021,Egypt,Main territory,,183010,30927,141347,10736
01-03-2021,Andorra,Main territory,,10889,304,10475,110
01-03-2021,Malawi,Main territory,,32008,11447,19513,1048
01-03-2021,Malta,Main territory,,22657,2678,19663,316
01-03-2021,Costa Rica,Main territory,,205086,20423,181851,2812
01-03-2021,Cameroon,Main territory,,35714,2569,32594,551
01-03-2021,Mauritius,Main territory,,619,21,588,10
01-03-2021,Italy,Veneto,,334250,24910,299488,9852
01-03-2021,Italy,Valle d'Aosta,,8057,168,7474,415
01-03-2021,Italy,Umbria,,44762,7998,35708,1056
01-03-2021,Italy,Toscana,,157112,18465,133961,4686
01-03-2021,Italy,Sicilia,,153036,26181,122699,4156
01-03-2021,Italy,Sardegna,,41236,12805,27265,1166
01-03-2021,Italy,Puglia,,147681,32962,110767,3952
01-03-2021,Italy,Piemonte,,248289,16621,222293,9375
01-03-2021,Italy,P.A. Trento,,34115,3697,29210,1208
01-03-2021,Italy,P.A. Bolzano,,53925,6726,46160,1039
01-03-2021,Italy,Molise,,10732,1734,8646,352
01-03-2021,Italy,Marche,,68303,9985,56059,2259
01-03-2021,Italy,Lombardia,,605216,65002,511811,28403
01-03-2021,Italy,Liguria,,78287,5485,69166,3636
01-03-2021,Italy,Lazio,,235272,35723,193638,5911
01-03-2021,Italy,Friuli Venezia Giulia,,76984,10162,63978,2844
01-03-2021,Italy,Emilia-Romagna,,263194,44278,208350,10566
01-03-2021,Italy,Campania,,269515,77953,187264,4298
01-03-2021,Italy,Calabria,,38031,6273,31070,688
01-03-2021,Italy,Basilicata,,15710,4094,11242,374
01-03-2021,Italy,Abruzzo,,54664,13111,39844,1709
01-03-2021,Ecuador,Main territory,,286367,22637,247898,15832
01-03-2021,Qatar,Main territory,,164137,9817,154061,259
01-03-2021,Russia,Севастополь,,12010,474,11040,496
01-03-2021,Russia,Крым,,35790,3017,31839,934
01-03-2021,Russia,Забайкальский край,,38726,1173,37021,532
01-03-2021,Russia,Ярославская обл.,,32944,1204,31334,406
01-03-2021,Russia,Ямало-Ненецкий АО,,37142,1565,35178,399
01-03-2021,Russia,Воронежская обл.,,68160,4217,62037,1906
01-03-2021,Russia,Вологодская обл.,,39415,2442,36164,809
01-03-2021,Russia,Волгоградская обл.,,49558,1387,47391,780
01-03-2021,Russia,Владимирская обл.,,27545,2129,24540,876
01-03-2021,Russia,Ульяновская обл.,,47786,2688,44284,814
01-03-2021,Russia,Удмуртия,,28296,2655,25006,635
01-03-2021,Russia,Тыва,,15656,898,14565,193
01-03-2021,Russia,Тюменская обл.,,31388,1576,29523,289
01-03-2021,Russia,Тверская обл.,,33869,2051,31191,627
01-03-2021,Russia,Тульская обл.,,33157,1197,30692,1268
01-03-2021,Russia,Томская обл.,,30310,1757,28234,319
01-03-2021,Russia,Татарстан,,18029,3111,14585,333
01-03-2021,Russia,Тамбовская обл.,,26391,1924,24121,346
01-03-2021,Russia,Свердловская обл.,,77869,4637,70845,2387
01-03-2021,Russia,Ставропольский край,,47388,3080,43225,1083
01-03-2021,Russia,Смоленская обл.,,26291,1289,24381,621
01-03-2021,Russia,Саратовская обл.,,49705,4184,44877,644
01-03-2021,Russia,Самарская обл.,,48807,2895,45001,911
01-03-2021,Russia,Сахалинская обл.,,21546,1120,20393,33
01-03-2021,Russia,Саха (Якутия),,32589,908,31167,514
01-03-2021,Russia,Санкт-Петербург,,368120,56751,300257,11112
01-03-2021,Russia,Рязанская обл.,,24542,1676,22568,298
01-03-2021,Russia,Ростовская обл.,,73315,6428,63772,3115
01-03-2021,Russia,Псковская обл.,,31996,10734,21093,169
01-03-2021,Russia,Приморский край,,40447,4661,35155,631
01-03-2021,Russia,Пермский край,,47031,6105,39186,1740
01-03-2021,Russia,Пензенская обл.,,38459,3427,34592,440
01-03-2021,Russia,Оренбургская обл.,,37674,2222,34843,609
01-03-2021,Russia,Орловская обл.,,30361,2553,27368,440
01-03-2021,Russia,Омская обл.,,41044,2217,37605,1222
01-03-2021,Russia,Новосибирская обл.,,35860,1531,32885,1444
01-03-2021,Russia,Новгородская обл.,,27217,3391,23713,113
01-03-2021,Russia,Северная Осетия,,15733,1281,14297,155
01-03-2021,Russia,Нижегородская обл.,,96955,5219,89263,2473
01-03-2021,Russia,Ненецкий АО,,1023,93,927,3
01-03-2021,Russia,Мурманская обл.,,46846,679,45221,946
01-03-2021,Russia,Московская обл.,,214590,34773,175136,4681
01-03-2021,Russia,Москва,,980573,66237,899239,15097
01-03-2021,Russia,Мордовия,,17882,1870,15850,162
01-03-2021,Russia,Марий Эл,,11820,1102,10547,171
01-03-2021,Russia,Магаданская обл.,,8142,188,7859,95
01-03-2021,Russia,Липецкая обл.,,24772,3070,21267,435
01-03-2021,Russia,Ленинградская обл.,,36151,2946,32557,648
